level,rescuer,nonrescuer,bystander
n,                          140,   106,   61
Very,                      32.9,  21.7, 16.4
Somewhat,                  31.4,  40.6, 47.5
Not very,                  25.0,  24.5, 18.0
Not at all,                10.7,  13.2, 18.0
