level,rescuer,nonrescuer,bystander
n,                          210,   120,   72
Very,                      31.1,  21.7, 23.6
Somewhat,                  37.8,  42.5, 47.2
Not very,                  19.3,  24.2, 15.3
Not at all,                11.8,  11.7, 13.9
