MP name,Party,Office,Staffing,Windup,Accommodation,Travel,Other,Total
Nigel Mills,Conservative,3640.62,3050.0,0.0,0.0,52.41,0.0,6743.03
Navendu Mishra,Labour,3843.66,0.0,0.0,5525.01,475.75,0.0,9844.42
Andrew Mitchell,Conservative,10642.26,3047.0,0.0,1012.47,1142.55,0.0,15844.28
Gagan Mohindra,Conservative,8385.82,0.0,0.0,0.0,0.0,0.0,8385.82
Francie Molloy,Sinn Féin,18620.75,0.0,0.0,0.0,0.0,0.0,18620.75
Carol Monaghan,Scottish National Party,6005.86,0.0,0.0,700.0,30.15,0.0,6736.01
Damien Moore,Conservative,6704.18,4487.0,0.0,4875.0,1713.24,0.0,17779.42
Robbie Moore,Conservative,14173.53,0.0,0.0,1441.4,3342.1,0.0,18957.03
Layla Moran,Liberal Democrat,9790.0,0.0,0.0,3649.56,0.0,0.0,13439.56
Penny Mordaunt,Conservative,9791.09,0.0,0.0,6980.0,0.0,0.0,16771.09
Jessica Morden,Labour,5210.17,0.0,0.0,4737.05,547.27,0.0,10494.49
Stephen Morgan,Labour,13892.28,900.0,0.0,9214.39,0.0,0.0,24006.67
Anne Morris,Conservative,8380.08,5047.0,0.0,7670.0,1189.0,0.0,22286.08
David Morris,Conservative,3773.35,3047.0,0.0,5726.6,0.0,0.0,12546.95
Grahame Morris,Labour,5705.5,0.0,0.0,6371.83,309.0,0.0,12386.33
James Morris,Conservative,3580.75,3047.0,0.0,5211.7,270.0,0.0,12109.45
Joy Morrissey,Conservative,16705.73,3049.0,0.0,0.0,2.5,0.0,19757.23
Wendy Morton,Conservative,7422.34,0.0,0.0,5383.31,300.6,0.0,13106.25
Kieran Mullan,Conservative,167.49,3049.0,0.0,0.0,10.8,0.0,3227.29
Holly Mumby-Croft,Conservative,10998.33,4633.0,0.0,9488.12,972.5,0.0,26091.95
David Mundell,Conservative,12607.68,0.0,0.0,6337.23,2427.23,0.0,21372.14
Ian Murray,Labour,6993.87,6450.0,0.0,6799.88,1061.61,0.0,21305.36
James Murray,Labour,3327.55,888.6,0.0,0.0,0.0,0.0,4216.15
Sheryll Murray,Conservative,4659.14,2000.0,0.0,7593.73,2707.5,0.0,16960.37
Andrew Murrison,Conservative,4583.9,3065.0,0.0,1817.66,923.2,0.0,10389.76
Lisa Nandy,Labour,5929.84,0.0,0.0,5793.1,1275.0,0.0,12997.94
Bob Neill,Conservative,4108.98,0.0,0.0,0.0,173.0,0.0,4281.98
Gavin Newlands,Scottish National Party,3021.05,2775.0,0.0,11458.58,1622.46,0.0,18877.09
Charlotte Nichols,Labour,2175.94,3900.0,0.0,3890.32,61.2,0.0,10027.46
Lia Nici,Conservative,5835.08,3049.0,0.0,9087.38,729.17,0.0,18700.63
John Nicolson,Scottish National Party,10246.77,0.0,0.0,1907.7,590.94,0.0,12745.41
Caroline Nokes,Conservative,6353.1,3047.0,0.0,1225.0,1695.32,0.0,12320.42
Jesse Norman,Conservative,4060.66,6296.66,0.0,0.0,0.0,0.0,10357.32
Alex Norris,Labour,5638.42,2970.0,0.0,6582.45,0.0,0.0,15190.87
Neil O'Brien,Conservative,7709.92,0.0,0.0,8927.03,766.64,0.0,17403.59
Matthew Offord,Conservative,17986.11,0.0,0.0,0.0,360.0,0.0,18346.11
Brendan O'Hara,Scottish National Party,5869.52,5550.0,0.0,9592.11,1323.69,0.0,22335.32
Sarah Olney,Liberal Democrat,9077.96,0.0,0.0,0.0,0.0,0.0,9077.96
Chinyelu Onwurah,Labour,5308.62,0.0,0.0,5401.64,513.4,0.0,11223.66
Guy Opperman,Conservative,11067.64,0.0,0.0,2112.12,627.36,0.0,13807.12
Abena Oppong-Asare,Labour,8996.17,0.0,0.0,0.0,0.0,0.0,8996.17
Kate Osamor,Labour,4144.64,0.0,0.0,0.0,0.0,0.0,4144.64
Kate Osborne,Labour,1391.53,0.0,0.0,7763.98,278.3,0.0,9433.81
Kirsten Oswald,Scottish National Party,4311.57,0.0,0.0,7280.0,0.0,0.0,11591.57
Taiwo Owatemi,Labour,2666.41,5150.0,0.0,1900.0,1435.5,0.0,11151.91
Sarah Owen,Labour,7576.27,0.0,0.0,0.0,0.0,0.0,7576.27
Ian Paisley,Democratic Unionist Party,9467.94,0.0,0.0,7876.32,0.0,0.0,17344.26
Neil Parish,Conservative,4013.72,0.0,0.0,7580.0,2035.3,0.0,13629.02
Priti Patel,Conservative,1979.0,0.0,0.0,6500.01,0.0,0.0,8479.01
Owen Paterson,Conservative,9770.07,0.0,0.0,1786.85,39.7,0.0,11596.62
Mark Pawsey,Conservative,8740.25,3047.0,0.0,7550.8,698.85,0.0,20036.9
Stephanie Peacock,Labour,7773.12,0.0,0.0,5505.47,501.4,0.0,13779.99
Mike Penning,Conservative,5665.54,9633.0,0.0,0.0,261.0,0.0,15559.54
Matthew Pennycook,Labour,1570.96,0.0,0.0,0.0,0.0,0.0,1570.96
John Penrose,Conservative,4826.78,0.0,0.0,0.0,566.2,0.0,5392.98
Andrew Percy,Conservative,10143.87,0.0,0.0,6826.34,1426.55,0.0,18396.76
Toby Perkins,Labour,2782.53,0.0,0.0,7056.42,980.7,0.0,10819.65
Jess Phillips,Labour,3159.47,1080.0,0.0,9758.17,1203.9,0.0,15201.54
Bridget Phillipson,Labour,6761.56,1950.0,0.0,3079.21,1257.29,0.0,13048.06
Chris Philp,Conservative,4128.92,0.0,0.0,0.0,0.0,0.0,4128.92
Chris Pincher,Conservative,10239.19,0.0,0.0,4240.0,1887.59,0.0,16366.78
Luke Pollard,Labour,8709.65,4137.34,0.0,7572.08,859.3,0.0,21278.37
Daniel Poulter,Conservative,6111.69,3047.0,0.0,3262.62,1887.87,0.0,14309.18
Rebecca Pow,Conservative,3790.31,3047.0,0.0,4754.38,357.6,0.0,11949.29
Lucy Powell,Labour,7449.07,5000.0,0.0,0.0,798.6,0.0,13247.67
Victoria Prentis,Conservative,6076.83,0.0,0.0,7838.1,7272.81,0.0,21187.74
Mark Pritchard,Conservative,7703.64,0.0,0.0,12367.15,1229.7,0.0,21300.49
Tom Pursglove,Conservative,4247.49,5055.0,0.0,8536.96,624.35,0.0,18463.8
Jeremy Quin,Conservative,2176.3,3047.0,0.0,0.0,0.0,0.0,5223.3
Will Quince,Conservative,2212.2,3047.0,0.0,1225.0,1191.9,0.0,7676.1
Yasmin Qureshi,Labour,8413.47,3600.0,0.0,5551.57,56.0,0.0,17621.04
Dominic Raab,Conservative,4242.31,0.0,0.0,0.0,0.0,0.0,4242.31
Tom Randall,Conservative,1563.27,3049.0,0.0,700.0,2355.65,0.0,7667.92
Angela Rayner,Labour,12692.83,0.0,0.0,4820.54,1418.5,348.0,19279.87
John Redwood,Conservative,893.94,0.0,0.0,1127.07,0.0,0.0,2021.01
Steve Reed,Labour,5941.63,0.0,0.0,0.0,167.5,0.0,6109.13
Christina Rees,Labour,7722.91,5115.0,0.0,1575.0,178.95,0.0,14591.86
Jacob Rees-Mogg,Conservative,2099.45,0.0,0.0,0.0,0.0,0.0,2099.45
Ellie Reeves,Labour,11756.59,438.6,0.0,0.0,30.0,0.0,12225.19
Rachel Reeves,Labour,9961.4,0.0,0.0,5262.27,157.3,0.0,15380.97
Jonathan Reynolds,Labour,8814.35,0.0,0.0,9424.98,905.4,0.0,19144.73
Bell Ribeiro-Addy,Labour,19261.02,0.0,0.0,0.0,84.8,0.0,19345.82
Nicola Richards,Conservative,17730.17,0.0,0.0,5586.72,560.39,0.0,23877.28
Angela Richardson,Conservative,5512.3,3049.0,0.0,7626.64,0.0,0.0,16187.94
Marie Rimmer,Labour,2016.61,0.0,0.0,0.0,88.45,0.0,2105.06
Rob Roberts,Conservative,11944.37,1110.0,0.0,5499.3,471.15,0.0,19024.82
Laurence Robertson,Conservative,6248.63,0.0,0.0,5067.2,873.03,0.0,12188.86
Gavin Robinson,Democratic Unionist Party,4533.95,0.0,0.0,8798.3,0.0,0.0,13332.25
Mary Robinson,Conservative,3004.44,3047.0,0.0,5572.53,673.31,0.0,12297.28
Matt Rodda,Labour,6211.28,10961.0,0.0,0.0,0.0,0.0,17172.28
Andrew Rosindell,Conservative,1849.64,3047.0,0.0,0.0,51.7,0.0,4948.34
Douglas Ross,Conservative,8174.54,3047.0,0.0,5062.31,2639.49,0.0,18923.34
Lee Rowley,Conservative,6016.38,0.0,0.0,1835.32,880.0,0.0,8731.7
Dean Russell,Conservative,8577.01,3744.0,0.0,0.0,0.0,0.0,12321.01
Lloyd Russell-Moyle,Labour,12313.44,0.0,0.0,0.0,340.42,0.0,12653.86
David Rutley,Conservative,5182.55,0.0,0.0,5494.03,2814.54,0.0,13491.12
Gary Sambrook,Conservative,8651.24,3391.0,0.0,4676.49,924.3,0.0,17643.03
Liz Saville-Roberts,Plaid Cymru,8783.82,0.0,0.0,5279.62,1881.92,0.0,15945.36
Selaine Saxby,Conservative,8566.66,0.0,0.0,8101.38,1515.05,0.0,18183.09
Paul Scully,Conservative,9776.76,3047.0,0.0,0.0,0.0,0.0,12823.76
Bob Seely,Conservative,6347.97,0.0,0.0,3769.47,1778.14,0.0,11895.58
Andrew Selous,Conservative,5512.36,0.0,0.0,148.75,1070.73,0.0,6731.84
Naseem Shah,Labour,6148.6,0.0,0.0,14142.07,346.55,0.0,20637.22
Jim Shannon,Democratic Unionist Party,6436.63,0.0,0.0,0.0,2100.0,0.0,8536.63
Grant Shapps,Conservative,11885.27,0.0,0.0,0.0,117.81,0.0,12003.08
Alok Sharma,Conservative,8126.58,0.0,0.0,0.0,2.34,0.0,8128.92
Virendra Sharma,Labour,14995.59,3600.0,0.0,0.0,0.0,0.0,18595.59
Barry Sheerman,Labour,5680.83,210.0,0.0,4839.3,32.4,0.0,10762.53
Alec Shelbrooke,Conservative,706.49,0.0,0.0,6441.17,1158.0,0.0,8305.66
Tommy Sheppard,Scottish National Party,6270.72,0.0,0.0,7279.29,0.0,0.0,13550.01
Tulip Siddiq,Labour,3093.76,0.0,0.0,0.0,355.4,0.0,3449.16
David Simmonds,Conservative,5245.65,0.0,0.0,0.0,8.55,0.0,5254.2
Chris Skidmore,Conservative,4728.52,3065.0,0.0,3240.65,328.4,0.0,11362.57
Andy Slaughter,Labour,1666.38,0.0,0.0,0.0,110.0,0.0,1776.38
Alyn Smith,Scottish National Party,9663.68,5550.0,0.0,0.0,833.06,0.0,16046.74
Cat Smith,Labour,3982.66,0.0,0.0,5522.24,627.15,0.0,10132.05
Chloe Smith,Conservative,5163.64,3047.0,0.0,6974.96,107.95,0.0,15293.55
Greg Smith,Conservative,1461.34,5049.0,0.0,175.0,1251.06,0.0,7936.4
Henry Smith,Conservative,5587.98,0.0,0.0,5929.92,1119.0,0.0,12636.9
Jeff Smith,Labour,8709.18,0.0,0.0,3000.0,956.4,0.0,12665.58
Julian Smith,Conservative,8516.61,0.0,0.0,0.0,212.86,0.0,8729.47
Nick Smith,Labour,9861.24,0.0,0.0,2495.43,2052.0,0.0,14408.67
Royston Smith,Conservative,4781.7,0.0,0.0,4937.99,371.65,0.0,10091.34
Karin Smyth,Labour,8152.85,825.0,0.0,6983.21,198.22,0.0,16159.28
Alex Sobel,Labour,4770.0,0.0,0.0,5952.78,1335.0,0.0,12057.78
Amanda Solloway,Conservative,9309.47,0.0,0.0,0.0,623.41,0.0,9932.88
John Spellar,Labour,8056.3,0.0,0.0,1606.14,0.0,0.0,9662.44
Ben Spencer,Conservative,3972.11,438.6,0.0,0.0,0.0,0.0,4410.71
Mark Spencer,Conservative,7760.34,0.0,0.0,329.4,1631.1,0.0,9720.84
Alexander Stafford,Conservative,9890.91,3049.0,0.0,5111.97,594.39,89.76,18736.03
Keir Starmer,Labour,9606.74,0.0,0.0,0.0,0.0,0.0,9606.74
