Rank,District,"2021 Median Income",Representative
183,NC-13,71598,W. Nickel
184,PA-7,71407,S. Wild
185,TX-14,71372,R. Weber
186,MO-3,71309,B. Luetkemeyer
187,DE-At Large,71091,L. Blunt Rocheste
188,IA-3,70794,Z. Nunn
189,FL-21,70739,B. Mast
190,FL-19,70698,B. Donalds
191,KY-4,70561,T. Massie
192,OH-8,70382,W. Davidson
193,IN-5,70367,V. Spartz
194,IL-7,70210,D. Davis
195,AZ-4,70204,G. Stanton
196,NY-6,70187,G. Meng
197,FL-23,70142,J. Moskowitz
198,MI-7,70080,E. Slotkin
199,MN-1,69959,B. Finstad
200,OH-1,69885,G. Landsman
201,RI-1,69666,D. Cicilline
202,TX-23,69566,T. Gonzales
203,GA-4,69415,H. Johnson
204,WI-1,69394,B. Steil
205,GA-9,69258,A. Clyde
206,AL-6,69221,G. Palmer
207,NV-3,69204,S. Lee
208,NC-12,69019,A. Adams
209,NE-1,68908,M. Flood
210,IN-4,68746,J. Baird
211,ID-1,68661,R. Fulcher
212,FL-22,68585,L. Frankel
213,TX-25,68500,R. Williams
214,AL-5,68269,D. Strong
215,AZ-6,68146,J. Ciscomani
216,TX-7,68025,L. Fletcher
217,GA-10,67918,M. Collins
218,OH-15,67626,M. Carey
219,WI-8,67451,M. Gallagher
220,CA-42,67435,R. Garcia
221,AZ-9,67407,P. Gosar
222,MN-8,67313 ,P. Stauber
223,CA-43,67279,M. Waters
224,MI-3,67276,H. Scholten
225,TX-6,67221,J. Ellzey
226,OH-4,67184,J. Jordan
227,MI-10,67019,J. James
228,WA-4,66812,D. Newhouse
229,IL-4,66787,J. García
230,CA-29,66767,T. Cárdenas
231,FL-7,66695,C. Mills
232,GA-3,66688,D. Ferguson
233,ND-At Large,66519,K. Armstrong
234,NC-4,66293,V. Foushee
235,SD-At Large,66143,D. Johnson
236,IN-6,66074,G. Pence
237,WI-6,66013,G. Grothman
238,OH-12,65943,T. Balderson
239,TX-5,65835,L. Gooden
240,FL-1,65793,M. Gaetz
241,LA-6,65719,G. Graves
242,NY-25,65695,J. Morelle
243,CA-23,65634,J. Obernolte
244,FL-17,65418,G. Steube
245,TX-36,65378,B. Babin
246,MI-4,65294,B. Huizenga
247,WY-At Large,65204,H. Hageman
248,LA-1,65197,S. Scalise
249,FL-28,64881,C. Gimenez
250,NY-24,64880,C. Tenney
251,FL-27,64869,M. Elvira Salazar
252,MO-6,64857,S. Graves
253,MA-1,64803,R. Neal
254,MN-7,64737,M. Fischbach
255,ID-2,64712,M. Simpson
256,WI-7,64670,T. Tiffany
257,IL-15,64632,M. Miller
258,AR-3,64608,S. Womack
259,TN-7,64551,M. Green
260,GA-14,64432,M. Taylor Greene
261,OK-5,64407,S. Bice
262,OH-14,64318,D. Joyce
263,MT-1,64288,R. Zinke
264,IA-2,64201,A. Hinson
265,IN-1,64176,F. Mrvan
266,IA-4,64164,R. Feenstra
267,NY-22,64128,B. Williams
268,SC-4,64119,W. Timmons
269,OH-3,64055,J. Beatty
270,TX-35,63991,G. Casar
271,NV-4,63987,S. Horsford
272,GA-13,63684,D. Scott
273,IA-1,63665,M. Miller-Meeks
274,FL-8,63612,B. Posey
275,FL-9,63463,D. Soto
276,NY-9,63306,Y. Clarke
277,NY-21,63211,E. Stefanik
278,NC-8,63115 ,D. Bishop
279,PA-8,63058,M. Cartwright
280,NY-23,62999,N. Langworthy
281,FL-14,62814,K. Castor
282,WA-5,62811,C. McMorris Rodgers
283,PA-9,62659,D. Meuser
284,OH-5,62384,B. Latta
285,VA-5,62276,B. Good
286,MT-2,62239,M. Rosendale Sr.
287,VA-6,62229,B. Cline
288,OH-13,62114,E. Sykes
289,TN-4,62108,S. DesJarlais
290,MI-5,61969,T. Walberg
291,NY-19,61944,M. Molinaro
292,TN-2,61938,T. Burchett
293,IN-3,61889,J. Banks
294,FL-13,61804,A. Luna
295,MO-5,61749,E. Cleaver
296,SC-2,61683,J. Wilson
297,WI-3,61644,D. Van Orden
298,FL-15,61625,L. Lee
