Episode Title,Weekday,Length,Share,AI,Chart,Broadcast datetime,viewers_in_millions
Under the Lake,Sat,00:43:20,22.0,84.0,22,2015-10-03 20:26:00,5.63
Before The Flood,Sat,00:42:25,26.7,82.0,21,2015-10-10 20:26:00,6.05
The Girl Who Died,Sat,00:45:45,28.1,82.0,18,2015-10-17 20:23:00,6.56
The Woman Who Lived,Sat,00:45:50,24.4,81.0,25,2015-10-24 20:21:00,6.11
The Zygon Invasion,Sat,00:46:30,24.3,82.0,24,2015-10-31 20:17:00,5.76
The Zygon Inversion,Sat,00:46:20,25.1,84.0,24,2015-11-07 20:00:00,6.03
Sleep No More,Sat,00:45:07,22.6,78.0,28,2015-11-14 20:14:00,5.61
Face The Raven,Sat,00:46:55,23.9,84.0,30,2015-11-21 20:10:00,6.06
Heaven Sent,Sat,00:54:02,24.9,80.0,27,2015-11-28 20:06:00,6.19
Hell Bent,Sat,01:00:25,25.7,82.0,29,2015-12-05 20:04:00,6.17
The Husbands of River Song,Fri,00:56:09,33.9,82.0,8,2015-12-25 17:17:00,7.69
The Return Of Doctor Mysterio,Sun,01:00:25,31.2,82.0,9,2016-12-25 17:44:00,7.83
The Pilot,Sat,00:49:40,30.6,83.0,10,2017-04-15 19:21:00,6.68
Smile,Sat,00:45:35,28.5,83.0,23,2017-04-22 19:21:00,5.98
Thin Ice,Sat,00:44:10,26.5,84.0,25,2017-04-29 19:23:00,5.61
Knock Knock,Sat,00:44:28,27.3,83.0,21,2017-05-06 19:21:00,5.73
Oxygen,Sat,00:44:45,26.1,83.0,26,2017-05-13 19:14:00,5.27
Extremis,Sat,00:48:44,26.4,82.0,20,2017-05-20 19:27:00,5.53
The Pyramid At The End Of The World,Sat,00:46:04,24.9,82.0,14,2017-05-27 19:51:00,5.79
The Lie Of The Land,Sat,00:44:38,20.3,82.0,30,2017-06-03 19:38:00,4.82
Empress Of Mars,Sat,00:43:42,25.9,83.0,23,2017-06-10 19:17:00,5.02
The Eaters of Light,Sat,00:42:20,30.3,81.0,26,2017-06-17 18:45:00,4.73
World Enough And Time,Sat,00:45:41,28.2,85.0,21,2017-06-24 18:45:00,5.0
The Doctor Falls,Sat,01:00:27,31.3,83.0,16,2017-07-01 18:31:00,5.3
Twice Upon A Time,Mon,00:59:50,34.0,81.0,9,2017-12-25 17:28:00,7.92
The Woman Who Fell to Earth,Sun,01:03:04,45.1,83.0,1,2018-10-07 18:45:00,10.96
The Ghost Monument,Sun,00:48:47,37.2,82.0,4,2018-10-14 18:55:00,9.0
Rosa,Sun,00:49:38,33.6,83.0,4,2018-10-21 18:55:00,8.41
Arachnids In The UK,Sun,00:49:22,32.9,83.0,4,2018-10-28 19:00:00,8.22
The Tsuranga Conundrum,Sun,00:50:41,33.0,79.0,6,2018-11-04 18:59:00,7.76
Demons Of The Punjab,Sun,00:50:05,31.4,80.0,8,2018-11-11 19:01:00,7.48
Kerblam!,Sun,00:48:50,31.8,81.0,9,2018-11-18 18:30:00,7.46
The Witchfinders,Sun,00:46:31,31.5,81.0,17,2018-11-25 18:30:00,7.21
It Takes You Away,Sun,00:49:11,28.3,80.0,22,2018-12-02 18:31:00,6.42
The Battle of Ranskoor Av Kolos,Sun,00:49:40,29.6,79.0,18,2018-12-09 18:25:00,6.65
Resolution,Tue,00:59:58,26.6,80.0,14,2019-01-01 19:00:00,7.13
Spyfall: Part One,Wed,00:59:50,25.7,82.0,8,2020-01-01 18:57:00,6.89
Spyfall: Part Two,Sun,01:00:30,26.2,82.0,16,2020-01-05 18:59:00,6.07
Orphan 55,Sun,00:46:33,23.7,77.0,25,2020-01-12 19:12:00,5.38
Nikola Tesla's Night of Terror,Sun,00:50:39,22.9,79.0,28,2020-01-19 19:11:00,5.2
Fugitive of the Judoon,Sun,00:49:40,24.5,83.0,23,2020-01-26 19:10:00,5.57
Praxeus,Sun,00:49:52,23.5,78.0,28,2020-02-02 19:11:00,5.22
Can You Hear Me?,Sun,00:49:15,21.6,78.0,35,2020-02-09 19:10:00,4.9
The Haunting Of Villa Diodati,Sun,00:49:41,22.9,80.0,31,2020-02-16 19:10:00,5.07
Ascension of the Cybermen,Sun,00:49:24,22.6,81.0,25,2020-02-23 19:10:00,4.99
The Timeless Children,Sun,01:05:45,21.5,82.0,30,2020-03-01 18:53:00,4.69
Revolution of the Daleks,Fri,01:11:00,25.1,79.0,10,2021-01-01 18:44:00,6.36
The Halloween Apocalypse: Flux: Chapter One,Sun,00:49:55,26.9,76.0,8,2021-10-31 18:26:00,5.81
War of The Sontarans: Flux: Chapter Two,Sun,00:59:24,,77.0,13,2021-11-07 18:16:00,5.13
"Once, Upon Time: Flux: Chapter Three",Sun,00:49:03,,75.0,20,2021-11-14 18:30:00,4.7
Village of the Angels: Flux: Chapter Four,Sun,00:56:35,,79.0,19,2021-11-21 18:19:00,4.57
Survivors of the Flux: Flux: Chapter Five,Sun,00:50:34,,77.0,22,2021-11-28 18:26:00,4.87
The Vanquishers: Flux: Chapter Six,Sun,00:59:16,20.7,76.0,22,2021-12-05 18:22:00,4.68
Eve Of The Daleks,Sat,00:58:15,21.2,77.0,26,2022-01-01 19:01:00,4.4
Legend Of The Sea Devils,Sun,00:47:38,20.6,76.0,25,2022-04-17 19:10:00,3.47
The Power of the Doctor,Sun,01:27:38,27.0,82.0,5,2022-10-23 19:33:00,5.3
