name,age,class,honorific,given_name,family_name,url
"Carr, Mr. Richard Stephen",27.0,Engineering Crew,Mr,Richard Stephen,Carr,/titanic-victim/richard-stephen-carr.html
"Carter, Mr. James",46.0,Engineering Crew,Mr,James,Carter,/titanic-victim/james-carter-ball.html
"Casey, Mr. Thomas",44.0,Engineering Crew,Mr,Thomas,Casey,/titanic-victim/t-casey.html
"Castleman, Mr. Edward",37.0,Engineering Crew,Mr,Edward,Castleman,/titanic-victim/edward-castleman.html
"Cavell, Mr. George Henry",22.0,Engineering Crew,Mr,George Henry,Cavell,/titanic-survivor/george-henry-cavell.html
"Cherrett, Mr. William Victor",24.0,Engineering Crew,Mr,William Victor,Cherrett,/titanic-victim/william-victor-cherrett.html
"Chisnall, Mr. George Alexander",36.0,Engineering Crew,Mr,George Alexander,Chisnall,/titanic-victim/george-alexander-chisnall.html
"Chorley, Mr. John Henry",25.0,Engineering Crew,Mr,John Henry,Chorley,/titanic-victim/john-chorley.html
"Clark, Mr. William",40.0,Engineering Crew,Mr,William,Clark,/titanic-survivor/william-clark.html
"Coe, Mr. Harry",21.0,Engineering Crew,Mr,Harry,Coe,/titanic-victim/harry-coe.html
"Coleman, Mr. John",57.0,Engineering Crew,Mr,John,Coleman,/titanic-victim/john-coleman.html
"Collins, Mr. John",38.0,Engineering Crew,Mr,John,Collins,/titanic-survivor/john-samuel-collins.html
"Combes, Mr. George",34.0,Engineering Crew,Mr,George,Combes,/titanic-survivor/george-combes.html
"Cooper, Mr. H.",25.0,Engineering Crew,Mr,H.,Cooper,/titanic-victim/h-cooper-fireman.html
"Cooper, Mr. James Edward",26.0,Engineering Crew,Mr,James Edward,Cooper,/titanic-victim/james-cooper-trimmer.html
"Copperthwaite, Mr. Albert Harry",28.0,Engineering Crew,Mr,Albert Harry,Copperthwaite,/titanic-victim/bert-copperthwaite.html
"Corcoran, Mr. Dennis",33.0,Engineering Crew,Mr,Dennis,Corcoran,/titanic-victim/denny-corcoran.html
"Cotton, Mr. Alfred",35.0,Engineering Crew,Mr,Alfred,Cotton,/titanic-victim/a-cotton.html
"Couch, Mr. Joseph Henry",49.0,Engineering Crew,Mr,Joseph Henry,Couch,/titanic-victim/joseph-henry-couch.html
"Couper, Mr. Robert Frederick William",30.0,Engineering Crew,Mr,Robert Frederick William,Couper,/titanic-survivor/robert-couper.html
"Coy, Mr. Francis Ernest George",27.0,Engineering Crew,Mr,Francis Ernest George,Coy,/titanic-victim/francis-ernest-george-coy.html
"Crabb, Mr. Henry James",23.0,Engineering Crew,Mr,Henry James,Crabb,/titanic-victim/h-crabb.html
"Creese, Mr. Henry Philip",45.0,Engineering Crew,Mr,Henry Philip,Creese,/titanic-victim/henry-philip-creese.html
"Crimmins, Mr. James",21.0,Engineering Crew,Mr,James,Crimmins,/titanic-survivor/james-crimmins.html
"Cross, Mr. William Alfred",44.0,Engineering Crew,Mr,William Alfred,Cross,/titanic-victim/w-cross.html
"Cunningham, Mr. Bernard",35.0,Engineering Crew,Mr,Bernard,Cunningham,/titanic-victim/b-cunningham.html
"Curtis, Mr. Arthur",26.0,Engineering Crew,Mr,Arthur,Curtis,/titanic-victim/arthur-curtis.html
"Davies, Mr. Thomas",33.0,Engineering Crew,Mr,Thomas,Davies,/titanic-victim/thomas-davies.html
"Dawson, Mr. Joseph",23.0,Engineering Crew,Mr,Joseph,Dawson,/titanic-victim/joseph-dawson.html
"Diaper, Mr. John Joseph",27.0,Engineering Crew,Mr,John Joseph,Diaper,/titanic-survivor/j-diaper.html
"Dickson, Mr. William",37.0,Engineering Crew,Mr,William,Dickson,/titanic-victim/william-dickson.html
"Dillon, Mr. Thomas Patrick",33.0,Engineering Crew,Mr,Thomas Patrick,Dillon,/titanic-survivor/thomas-patrick-dillon.html
"Dodd, Mr. Edward Charles",39.0,Engineering Crew,Mr,Edward Charles,Dodd,/titanic-victim/edward-charles-dodd.html
"Dodds, Mr. Henry Watson",26.0,Engineering Crew,Mr,Henry Watson,Dodds,/titanic-victim/henry-watson-dodds.html
"Doel, Mr. Frederick",22.0,Engineering Crew,Mr,Frederick,Doel,/titanic-survivor/frederick-doel.html
"Dore, Mr. Albert James",22.0,Engineering Crew,Mr,Albert James,Dore,/titanic-survivor/a-dore.html
"Doyle, Mr. Laurence",27.0,Engineering Crew,Mr,Laurence,Doyle,/titanic-victim/laurence-doyle.html
"Duffy, Mr. William Luke",36.0,Engineering Crew,Mr,William Luke,Duffy,/titanic-victim/william-luke-duffy.html
"Dyer, Mr. Henry Ryland",24.0,Engineering Crew,Mr,Henry Ryland,Dyer,/titanic-victim/henry-ryland-dyer.html
"Dymond, Mr. Frank",36.0,Engineering Crew,Mr,Frank,Dymond,/titanic-survivor/frank-dymond.html
"Eagle, Mr. Alfred James Jacob",27.0,Engineering Crew,Mr,Alfred James Jacob,Eagle,/titanic-victim/a-eagle.html
"Eastman, Mr. Charles",44.0,Engineering Crew,Mr,Charles,Eastman,/titanic-victim/charles-eastman.html
"Elliott, Mr. Everett Edward",23.0,Engineering Crew,Mr,Everett Edward,Elliott,/titanic-victim/everett-edward-elliott.html
"Ervine, Mr. Albert George",18.0,Engineering Crew,Mr,Albert George,Ervine,/titanic-victim/albert-george-ervine.html
"Evans, Mr. William Thomas",33.0,Engineering Crew,Mr,William Thomas,Evans,/titanic-victim/william-evans.html
"Farquharson, Mr. William Edward",39.0,Engineering Crew,Mr,William Edward,Farquharson,/titanic-victim/william-edward-farquharson.html
"Fay, Mr. Thomas Joseph",30.0,Engineering Crew,Mr,Thomas Joseph,Fay,/titanic-victim/thomas-joseph-fay.html
"Ferrary, Mr. Antonio",33.0,Engineering Crew,Mr,Antonio,Ferrary,/titanic-victim/anton-ferrary.html
"Ferris, Mr. William",39.0,Engineering Crew,Mr,William,Ferris,/titanic-victim/w-ferris.html
"Fitzpatrick, Mr. Hugh Joseph",29.0,Engineering Crew,Mr,Hugh Joseph,Fitzpatrick,/titanic-victim/hugh-fitzpatrick.html
"Fitzpatrick, Mr. Cecil William",21.0,Engineering Crew,Mr,Cecil William,Fitzpatrick,/titanic-survivor/cecil-william-fitzpatrick.html
"Flaherty, Mr. Edward",52.0,Engineering Crew,Mr,Edward,Flaherty,/titanic-survivor/edward-flarty.html
