"","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","bedrooms","price","number_of_reviews"
"1",2818,"Oostelijk Havengebied - Indische Buurt",52.36575,4.94142,"Private room in apartment","Private room",1,59,278
"3",25428,"Centrum-West",52.37297,4.88339,"Entire apartment","Entire home/apt",1,125,5
"5",28871,"Centrum-Oost",52.3661,4.88953,"Private room in apartment","Private room",1,75,336
"6",29051,"Centrum-Oost",52.36607,4.891,"Private room in apartment","Private room",1,55,480
"7",31080,"Zuid",52.35132,4.84838,"Entire apartment","Entire home/apt",3,219,32
"8",41125,"Centrum-West",52.37891,4.88321,"Entire apartment","Entire home/apt",1,160,89
"9",43109,"Centrum-West",52.37537,4.88932,"Entire apartment","Entire home/apt",2,211,59
"10",44129,"Centrum-West",52.38071,4.8861,"Entire apartment","Entire home/apt",1,115,179
"11",46386,"De Pijp - Rivierenbuurt",52.35247,4.90825,"Entire apartment","Entire home/apt",1,150,3
"16",52490,"Oostelijk Havengebied - Indische Buurt",52.37005,4.93869,"Private room in apartment","Private room",1,75,102
"19",55256,"Centrum-Oost",52.37126,4.90351,"Private room in apartment","Private room",1,90,179
"20",55621,"De Pijp - Rivierenbuurt",52.35386,4.89772,"Entire apartment","Entire home/apt",2,222,32
"21",55807,"De Baarsjes - Oud-West",52.36966,4.86203,"Private room in apartment","Private room",1,65,157
"22",55868,"Zuid",52.35613,4.88515,"Entire apartment","Entire home/apt",2,149,95
"23",56703,"Centrum-West",52.37629,4.88019,"Entire house","Entire home/apt",2,155,0
"25",62015,"Oud-Oost",52.36445,4.93124,"Entire apartment","Entire home/apt",1,135,30
"26",62801,"Bos en Lommer",52.38459,4.85463,"Entire apartment","Entire home/apt",2,750,0
"28",67841,"De Pijp - Rivierenbuurt",52.35472,4.89324,"Entire apartment","Entire home/apt",1,106,16
"29",68290,"Centrum-West",52.36887,4.89523,"Private room in apartment","Private room",1,45,659
"30",68873,"Centrum-West",52.3695,4.89556,"Private room in apartment","Private room",1,98,579
"31",70598,"Noord-West",52.41433,4.92014,"Private room in house","Private room",1,40,108
"32",75382,"Oud-Oost",52.36482,4.92762,"Private room in apartment","Private room",1,55,254
"33",75444,"Centrum-Oost",52.36703,4.92879,"Private room in apartment","Private room",1,48,324
"34",75499,"De Baarsjes - Oud-West",52.36145,4.87696,"Private room in apartment","Private room",1,80,33
"39",82748,"Centrum-West",52.37307,4.89343,"Entire apartment","Entire home/apt",1,249,131
"45",107195,"Centrum-Oost",52.37007,4.9196,"Entire apartment","Entire home/apt",1,150,37
"46",108890,"De Baarsjes - Oud-West",52.36083,4.85667,"Entire apartment","Entire home/apt",1,100,3
"47",130390,"De Pijp - Rivierenbuurt",52.35517,4.88969,"Private room in apartment","Private room",1,80,29
"49",141708,"Oostelijk Havengebied - Indische Buurt",52.36674,4.93748,"Entire apartment","Entire home/apt",2,145,86
"50",148132,"De Baarsjes - Oud-West",52.3686,4.86487,"Private room in apartment","Private room",1,37,4
"51",155548,"Oud-Oost",52.36528,4.9301,"Entire apartment","Entire home/apt",1,150,21
"52",162467,"De Baarsjes - Oud-West",52.36368,4.85506,"Entire apartment","Entire home/apt",1,125,56
"53",165833,"De Baarsjes - Oud-West",52.37336,4.85754,"Entire apartment","Entire home/apt",3,112,41
"56",170223,"Centrum-West",52.37018,4.88209,"Entire apartment","Entire home/apt",1,150,63
"57",171054,"De Baarsjes - Oud-West",52.36916,4.86643,"Entire apartment","Entire home/apt",2,120,103
"58",171498,"Zuid",52.3559,4.87919,"Entire apartment","Entire home/apt",3,249,5
"59",171631,"De Baarsjes - Oud-West",52.36339,4.85402,"Entire apartment","Entire home/apt",3,97,48
"60",174592,"Centrum-Oost",52.36208,4.9101,"Entire apartment","Entire home/apt",1,159,139
"61",175989,"Zuid",52.35883,4.86647,"Entire apartment","Entire home/apt",1,200,102
"62",179528,"De Pijp - Rivierenbuurt",52.34332,4.89484,"Entire apartment","Entire home/apt",2,275,27
"63",182839,"Oud-Noord",52.38624,4.90067,"Entire apartment","Entire home/apt",2,125,15
"66",198307,"Centrum-West",52.38393,4.89237,"Entire apartment","Entire home/apt",1,129,41
"67",199844,"Westerpark",52.38351,4.87573,"Entire apartment","Entire home/apt",1,99,42
"69",203658,"Zuid",52.34744,4.86886,"Entire apartment","Entire home/apt",3,284,24
"70",205759,"De Baarsjes - Oud-West",52.36889,4.86429,"Entire apartment","Entire home/apt",1,99,2
"71",211408,"Watergraafsmeer",52.34961,4.91738,"Private room in apartment","Private room",1,50,183
"72",212050,"De Baarsjes - Oud-West",52.36895,4.86452,"Entire apartment","Entire home/apt",2,246,20
"73",213721,"Zuid",52.35165,4.84653,"Entire apartment","Entire home/apt",1,151,41
"74",214531,"Centrum-West",52.37169,4.89446,"Private room in apartment","Private room",1,99,168
"76",222516,"De Baarsjes - Oud-West",52.3611,4.85894,"Entire apartment","Entire home/apt",1,92,132
"79",246750,"Centrum-West",52.36773,4.88983,"Entire apartment","Entire home/apt",2,145,21
"80",247805,"De Baarsjes - Oud-West",52.36707,4.87348,"Private room in apartment","Private room",1,122,343
"81",250751,"Oostelijk Havengebied - Indische Buurt",52.3661,4.93299,"Entire apartment","Entire home/apt",1,79,102
"83",252080,"Centrum-Oost",52.36961,4.90982,"Entire house","Entire home/apt",2,385,11
"85",254800,"Centrum-West",52.37131,4.88206,"Entire apartment","Entire home/apt",1,296,49
"86",255809,"Buitenveldert - Zuidas",52.34393,4.88547,"Private room in apartment","Private room",2,125,90
"87",256670,"De Baarsjes - Oud-West",52.35941,4.85995,"Entire apartment","Entire home/apt",4,250,7
"88",258273,"De Pijp - Rivierenbuurt",52.3542,4.8916,"Entire apartment","Entire home/apt",1,8000,8
"89",262394,"Zuid",52.35519,4.85117,"Private room in apartment","Private room",1,88,113
"90",265349,"De Baarsjes - Oud-West",52.36048,4.86345,"Entire apartment","Entire home/apt",1,85,22
"91",270839,"Bos en Lommer",52.37745,4.85994,"Private room in apartment","Private room",1,45,220
"92",272597,"Zuid",52.34633,4.85629,"Entire apartment","Entire home/apt",1,145,6
"94",277011,"De Baarsjes - Oud-West",52.3583,4.85909,"Entire apartment","Entire home/apt",1,125,20
"95",282269,"Zuid",52.35017,4.85255,"Entire apartment","Entire home/apt",2,116,3
"96",283170,"Zuid",52.35353,4.87514,"Entire apartment","Entire home/apt",5,650,109
"97",286374,"Geuzenveld - Slotermeer",52.37899,4.83494,"Entire apartment","Entire home/apt",1,95,1
"98",286500,"Centrum-West",52.37561,4.9,"Private room in apartment","Private room",1,78,280
"99",290701,"Centrum-West",52.37561,4.9,"Private room in apartment","Private room",1,78,324
"100",291637,"Watergraafsmeer",52.35251,4.94338,"Private room in house","Private room",1,80,8
"101",291752,"Oud-Oost",52.35279,4.91256,"Private room in apartment","Private room",1,105,209
"102",293337,"Oud-Noord",52.38171,4.9144,"Private room in apartment","Private room",1,115,25
"103",293514,"Oud-Noord",52.38744,4.9096,"Entire house","Entire home/apt",2,74,5
"104",297220,"De Pijp - Rivierenbuurt",52.35755,4.90144,"Entire apartment","Entire home/apt",1,195,90
"105",301220,"Centrum-West",52.37154,4.87596,"Entire apartment","Entire home/apt",1,125,83
"106",302426,"Centrum-West",52.37997,4.88707,"Entire apartment","Entire home/apt",2,112,14
"107",304082,"Centrum-West",52.37075,4.89787,"Entire apartment","Entire home/apt",1,51,101
"109",304189,"Centrum-West",52.37094,4.87654,"Entire apartment","Entire home/apt",1,135,89
"110",305809,"Westerpark",52.38584,4.871,"Entire apartment","Entire home/apt",1,275,129
"111",306852,"Centrum-Oost",52.35955,4.8979,"Entire apartment","Entire home/apt",2,200,21
"113",307621,"De Pijp - Rivierenbuurt",52.35796,4.89659,"Entire apartment","Entire home/apt",1,125,2
"114",308028,"Centrum-Oost",52.35853,4.89751,"Private room in apartment","Private room",1,70,35
"116",310722,"Zuid",52.35913,4.86638,"Entire apartment","Entire home/apt",1,169,28
"117",311124,"Centrum-West",52.37104,4.87713,"Entire apartment","Entire home/apt",1,190,81
"118",311584,"De Baarsjes - Oud-West",52.36684,4.87676,"Entire apartment","Entire home/apt",1,95,53
"119",314673,"De Pijp - Rivierenbuurt",52.34143,4.89142,"Entire apartment","Entire home/apt",1,199,38
"120",319985,"De Pijp - Rivierenbuurt",52.35729,4.90163,"Entire apartment","Entire home/apt",1,71,352
"121",320689,"Zuid",52.34919,4.85889,"Entire apartment","Entire home/apt",2,88,32
"124",340994,"Centrum-Oost",52.36884,4.90648,"Entire apartment","Entire home/apt",1,150,37
"126",345397,"De Pijp - Rivierenbuurt",52.35711,4.90391,"Entire apartment","Entire home/apt",2,169,43
"128",357932,"De Pijp - Rivierenbuurt",52.35683,4.89925,"Entire apartment","Entire home/apt",1,200,27
"131",362458,"Centrum-Oost",52.37021,4.93007,"Entire apartment","Entire home/apt",1,99,52
"132",367107,"Centrum-Oost",52.36248,4.90204,"Entire apartment","Entire home/apt",1,300,11
"133",367491,"De Baarsjes - Oud-West",52.36594,4.87807,"Entire apartment","Entire home/apt",1,88,68
"137",387644,"Westerpark",52.37927,4.8775,"Entire apartment","Entire home/apt",2,295,55
"138",396125,"Centrum-West",52.37824,4.88532,"Private room in apartment","Private room",1,85,574
"139",402353,"Watergraafsmeer",52.35338,4.93407,"Entire apartment","Entire home/apt",1,110,194
"140",406794,"Oud-Oost",52.36131,4.92579,"Entire house","Entire home/apt",2,133,8
"141",408794,"De Baarsjes - Oud-West",52.35971,4.86177,"Entire apartment","Entire home/apt",1,199,23
"142",411401,"Slotervaart",52.34949,4.83201,"Entire apartment","Entire home/apt",1,45,7
"143",414865,"Zuid",52.35099,4.84665,"Entire apartment","Entire home/apt",1,98,7
"144",414917,"Centrum-Oost",52.363,4.89917,"Entire apartment","Entire home/apt",2,280,78
"145",415619,"Oostelijk Havengebied - Indische Buurt",52.36958,4.93516,"Entire apartment","Entire home/apt",1,145,67
"146",418098,"De Baarsjes - Oud-West",52.36872,4.86022,"Entire apartment","Entire home/apt",2,185,21
"147",422044,"Centrum-West",52.37964,4.89442,"Entire apartment","Entire home/apt",3,275,134
"148",431635,"Bos en Lommer",52.37853,4.85573,"Entire apartment","Entire home/apt",2,45,18
"149",432233,"Centrum-Oost",52.36177,4.88744,"Entire apartment","Entire home/apt",1,304,24
"150",437757,"De Pijp - Rivierenbuurt",52.35298,4.90512,"Entire apartment","Entire home/apt",1,109,123
"151",439097,"De Baarsjes - Oud-West",52.36994,4.86707,"Entire apartment","Entire home/apt",1,140,52
"153",441424,"Oostelijk Havengebied - Indische Buurt",52.37379,4.94488,"Entire house","Entire home/apt",3,175,33
"156",446592,"De Pijp - Rivierenbuurt",52.35852,4.90356,"Private room in apartment","Private room",2,100,239
"157",447151,"Zuid",52.35353,4.84709,"Entire apartment","Entire home/apt",1,105,73
"158",450767,"Centrum-Oost",52.37007,4.9017,"Entire apartment","Entire home/apt",2,275,77
"159",451719,"Centrum-West",52.37116,4.87896,"Entire apartment","Entire home/apt",1,179,60
"160",455881,"Oud-Oost",52.35698,4.92061,"Entire apartment","Entire home/apt",3,175,18
"161",460469,"Oud-Oost",52.36048,4.92685,"Entire apartment","Entire home/apt",1,110,46
"162",462341,"Centrum-West",52.37393,4.89355,"Entire house","Entire home/apt",3,175,31
"163",463636,"Westerpark",52.3816,4.87211,"Entire apartment","Entire home/apt",1,150,193
"164",467103,"Centrum-West",52.37074,4.89435,"Entire apartment","Entire home/apt",1,160,149
"165",474452,"De Baarsjes - Oud-West",52.36975,4.86026,"Entire apartment","Entire home/apt",1,125,28
"169",484836,"De Baarsjes - Oud-West",52.37066,4.86025,"Entire apartment","Entire home/apt",3,200,54
"170",489418,"Bos en Lommer",52.37594,4.8501,"Entire apartment","Entire home/apt",2,79,96
"171",490374,"Slotervaart",52.3526,4.84468,"Entire apartment","Entire home/apt",2,225,16
"173",502869,"Westerpark",52.38303,4.87512,"Entire apartment","Entire home/apt",1,169,23
"174",503629,"Zuid",52.35364,4.87824,"Entire apartment","Entire home/apt",3,120,11
"175",505012,"Centrum-Oost",52.36402,4.88758,"Entire apartment","Entire home/apt",3,299,60
"176",505650,"Zuid",52.355,4.87611,"Private room in apartment","Private room",2,120,127
"177",505804,"Westerpark",52.3848,4.87726,"Entire apartment","Entire home/apt",1,76,94
"179",514946,"Watergraafsmeer",52.35502,4.93512,"Entire apartment","Entire home/apt",1,120,6
"180",515088,"Noord-Oost",52.3955,4.99576,"Private room in apartment","Private room",1,120,2
"181",515921,"Zuid",52.35022,4.8525,"Entire apartment","Entire home/apt",2,159,77
"182",517092,"De Baarsjes - Oud-West",52.36138,4.85545,"Entire apartment","Entire home/apt",4,120,0
"183",517996,"Centrum-West",52.37813,4.88594,"Entire apartment","Entire home/apt",1,160,23
"184",522471,"Bos en Lommer",52.37762,4.85285,"Entire apartment","Entire home/apt",3,180,23
"186",537321,"De Baarsjes - Oud-West",52.37306,4.86193,"Entire apartment","Entire home/apt",1,110,31
"188",543930,"Oud-Oost",52.3639,4.92542,"Entire apartment","Entire home/apt",2,139,7
"190",549310,"De Baarsjes - Oud-West",52.37234,4.86229,"Entire apartment","Entire home/apt",3,150,43
"191",550783,"De Baarsjes - Oud-West",52.37296,4.87374,"Entire apartment","Entire home/apt",1,110,23
"192",552145,"De Baarsjes - Oud-West",52.36694,4.85033,"Entire apartment","Entire home/apt",1,50,18
"193",553216,"Centrum-West",52.37453,4.88406,"Entire apartment","Entire home/apt",2,1750,31
"195",555225,"Westerpark",52.37784,4.87201,"Entire apartment","Entire home/apt",1,107,10
"196",555399,"De Baarsjes - Oud-West",52.37276,4.87285,"Entire apartment","Entire home/apt",1,120,22
"197",556829,"Buitenveldert - Zuidas",52.3358,4.86706,"Entire apartment","Entire home/apt",1,179,20
"198",561713,"Oud-Oost",52.36075,4.93127,"Entire apartment","Entire home/apt",4,195,5
"199",564826,"De Pijp - Rivierenbuurt",52.35555,4.90146,"Entire apartment","Entire home/apt",2,150,16
"200",568005,"Zuid",52.35217,4.88042,"Entire apartment","Entire home/apt",1,140,55
"201",568446,"Centrum-Oost",52.37226,4.90191,"Private room in apartment","Private room",1,83,103
"204",571029,"De Baarsjes - Oud-West",52.3684,4.86064,"Entire apartment","Entire home/apt",2,150,10
"205",571130,"Centrum-West",52.3787,4.89095,"Entire apartment","Entire home/apt",1,125,5
"206",572208,"De Baarsjes - Oud-West",52.36671,4.87275,"Entire apartment","Entire home/apt",2,206,26
"208",575615,"Centrum-Oost",52.37076,4.90295,"Entire apartment","Entire home/apt",3,225,34
"210",580978,"De Baarsjes - Oud-West",52.36534,4.85654,"Entire apartment","Entire home/apt",2,94,6
"212",581869,"De Pijp - Rivierenbuurt",52.35239,4.88894,"Entire apartment","Entire home/apt",1,193,16
"213",582028,"Slotervaart",52.35933,4.84151,"Entire apartment","Entire home/apt",1,105,10
"214",582030,"Bos en Lommer",52.37809,4.85039,"Entire apartment","Entire home/apt",1,165,22
"215",582135,"Oud-Noord",52.38723,4.91974,"Entire apartment","Entire home/apt",1,100,10
"218",588020,"Centrum-Oost",52.3709,4.91308,"Entire apartment","Entire home/apt",3,360,176
"220",588116,"Oud-Oost",52.35045,4.91614,"Entire apartment","Entire home/apt",2,100,45
"221",588326,"Westerpark",52.38474,4.88078,"Entire apartment","Entire home/apt",4,250,1
"222",589194,"Oud-Oost",52.35374,4.90931,"Entire apartment","Entire home/apt",1,85,25
"223",589237,"Zuid",52.35289,4.85213,"Entire apartment","Entire home/apt",3,120,17
"224",590236,"De Baarsjes - Oud-West",52.36692,4.85332,"Entire apartment","Entire home/apt",1,120,40
"225",590386,"Watergraafsmeer",52.35639,4.93149,"Entire apartment","Entire home/apt",4,140,7
"226",590681,"Zuid",52.34788,4.8506,"Entire apartment","Entire home/apt",4,330,11
"227",591086,"De Pijp - Rivierenbuurt",52.3545,4.90523,"Entire apartment","Entire home/apt",1,80,145
"228",593101,"Centrum-Oost",52.36994,4.91482,"Private room in apartment","Private room",1,45,341
"229",593483,"De Baarsjes - Oud-West",52.36616,4.86647,"Entire apartment","Entire home/apt",1,430,210
"230",594474,"Zuid",52.35389,4.88206,"Entire apartment","Entire home/apt",1,200,32
"231",601882,"Centrum-West",52.3748,4.87739,"Entire apartment","Entire home/apt",2,150,20
"234",609250,"De Baarsjes - Oud-West",52.36298,4.86721,"Entire apartment","Entire home/apt",2,232,34
"237",620056,"Westerpark",52.38892,4.86973,"Entire apartment","Entire home/apt",2,235,32
"238",623123,"De Baarsjes - Oud-West",52.36068,4.86543,"Entire apartment","Entire home/apt",3,450,19
"239",623652,"Oud-Oost",52.35271,4.90978,"Entire apartment","Entire home/apt",3,275,28
"240",623734,"De Baarsjes - Oud-West",52.36285,4.86544,"Entire apartment","Entire home/apt",1,140,18
"241",624485,"Westerpark",52.38694,4.87888,"Entire apartment","Entire home/apt",1,70,71
"242",626872,"Westerpark",52.37625,4.87519,"Entire apartment","Entire home/apt",1,150,0
"245",627628,"Oud-Oost",52.35749,4.92366,"Entire apartment","Entire home/apt",2,135,7
"246",627740,"Westerpark",52.37755,4.8778,"Entire apartment","Entire home/apt",1,189,2
"247",628465,"De Baarsjes - Oud-West",52.36341,4.86358,"Entire apartment","Entire home/apt",1,125,36
"250",635019,"Bos en Lommer",52.37986,4.84874,"Entire apartment","Entire home/apt",1,95,67
"251",637742,"Zuid",52.3478,4.84572,"Entire apartment","Entire home/apt",1,79,15
"252",639480,"Bos en Lommer",52.3765,4.86016,"Entire apartment","Entire home/apt",2,105,1
"253",639981,"De Baarsjes - Oud-West",52.36024,4.85364,"Entire apartment","Entire home/apt",1,101,22
"254",640062,"Watergraafsmeer",52.34994,4.92824,"Entire apartment","Entire home/apt",1,120,41
"256",642190,"Centrum-West",52.36686,4.88995,"Entire apartment","Entire home/apt",1,139,107
"257",648503,"Centrum-West",52.36955,4.88389,"Entire apartment","Entire home/apt",1,110,228
"258",648826,"De Pijp - Rivierenbuurt",52.35842,4.88993,"Entire apartment","Entire home/apt",1,150,38
"259",650232,"De Pijp - Rivierenbuurt",52.35613,4.89771,"Entire apartment","Entire home/apt",1,79,33
"260",652575,"De Pijp - Rivierenbuurt",52.35711,4.89598,"Entire apartment","Entire home/apt",1,120,28
"261",652660,"De Baarsjes - Oud-West",52.36522,4.87899,"Entire apartment","Entire home/apt",1,115,8
"262",652888,"Westerpark",52.37835,4.87297,"Entire apartment","Entire home/apt",1,93,104
"263",653459,"Buitenveldert - Zuidas",52.32246,4.86219,"Entire house","Entire home/apt",4,210,14
"264",653596,"De Baarsjes - Oud-West",52.3687,4.87209,"Entire apartment","Entire home/apt",1,140,29
"267",656268,"Centrum-Oost",52.37103,4.90747,"Entire apartment","Entire home/apt",2,150,4
"268",658049,"De Baarsjes - Oud-West",52.36114,4.87608,"Private room in house","Private room",1,160,99
"270",663390,"Oud-Oost",52.35639,4.93067,"Entire house","Entire home/apt",2,163,12
"273",665250,"De Pijp - Rivierenbuurt",52.35108,4.89882,"Entire apartment","Entire home/apt",2,139,0
"274",666142,"De Baarsjes - Oud-West",52.3634,4.85925,"Entire apartment","Entire home/apt",2,120,10
"275",667305,"Noord-West",52.42037,4.8947,"Entire apartment","Entire home/apt",1,146,15
"276",667333,"Centrum-West",52.36672,4.88272,"Entire apartment","Entire home/apt",1,147,29
"277",667928,"Centrum-West",52.38093,4.88653,"Entire apartment","Entire home/apt",1,174,26
"278",669729,"De Pijp - Rivierenbuurt",52.35398,4.89165,"Entire apartment","Entire home/apt",1,129,2
"279",670745,"De Pijp - Rivierenbuurt",52.34765,4.91135,"Entire apartment","Entire home/apt",2,183,54
"280",670828,"De Baarsjes - Oud-West",52.37094,4.87477,"Entire apartment","Entire home/apt",1,190,30
"281",673453,"De Pijp - Rivierenbuurt",52.34094,4.90236,"Entire apartment","Entire home/apt",3,150,21
"282",675886,"De Baarsjes - Oud-West",52.37425,4.86174,"Entire house","Entire home/apt",1,69,4
"283",676922,"Westerpark",52.38328,4.87149,"Entire apartment","Entire home/apt",2,100,16
"284",678067,"De Baarsjes - Oud-West",52.3708,4.85889,"Entire apartment","Entire home/apt",1,111,52
"285",678393,"Centrum-Oost",52.37133,4.92935,"Entire apartment","Entire home/apt",1,150,30
"286",679838,"Centrum-Oost",52.36711,4.90448,"Entire apartment","Entire home/apt",1,295,47
"287",680137,"Centrum-Oost",52.37201,4.90142,"Entire house","Entire home/apt",1,200,0
"288",683431,"De Pijp - Rivierenbuurt",52.34557,4.8962,"Private room in apartment","Private room",1,95,433
"289",685990,"Geuzenveld - Slotermeer",52.38314,4.83759,"Private room in house","Private room",1,65,299
"290",686018,"De Baarsjes - Oud-West",52.3636,4.85752,"Entire apartment","Entire home/apt",1,108,17
"291",689623,"Centrum-Oost",52.37321,4.92402,"Entire apartment","Entire home/apt",1,120,82
"292",690757,"Centrum-West",52.374,4.89902,"Private room in apartment","Private room",1,185,421
"293",693432,"Centrum-West",52.37446,4.88875,"Entire apartment","Entire home/apt",2,250,120
"294",693675,"De Baarsjes - Oud-West",52.36086,4.8534,"Entire apartment","Entire home/apt",2,95,11
"295",694850,"Centrum-West",52.37305,4.89741,"Private room in apartment","Private room",1,70,702
"296",696113,"IJburg - Zeeburgereiland",52.36213,4.97431,"Entire apartment","Entire home/apt",2,120,21
"297",698672,"De Baarsjes - Oud-West",52.36772,4.86503,"Entire apartment","Entire home/apt",1,98,53
"298",699991,"Westerpark",52.39009,4.88306,"Entire apartment","Entire home/apt",2,95,60
"299",700797,"De Baarsjes - Oud-West",52.36207,4.87483,"Entire apartment","Entire home/apt",2,175,170
"300",700993,"De Pijp - Rivierenbuurt",52.34124,4.89523,"Entire apartment","Entire home/apt",1,90,24
"301",702120,"Westerpark",52.38541,4.87178,"Entire apartment","Entire home/apt",1,136,25
"302",702894,"Bos en Lommer",52.37435,4.84636,"Entire apartment","Entire home/apt",2,240,85
"303",703616,"De Baarsjes - Oud-West",52.36756,4.86563,"Entire apartment","Entire home/apt",2,150,9
"304",703716,"De Baarsjes - Oud-West",52.36397,4.8643,"Entire apartment","Entire home/apt",2,132,9
"305",705423,"Centrum-Oost",52.36631,4.88786,"Entire apartment","Entire home/apt",1,219,120
"306",705509,"Zuid",52.35295,4.8739,"Entire apartment","Entire home/apt",1,110,258
"308",708528,"De Pijp - Rivierenbuurt",52.35537,4.89477,"Private room in apartment","Private room",1,90,186
"309",711952,"De Pijp - Rivierenbuurt",52.35588,4.90153,"Entire apartment","Entire home/apt",2,311,48
"310",713557,"De Baarsjes - Oud-West",52.36449,4.86446,"Entire apartment","Entire home/apt",1,121,5
"311",713715,"Centrum-West",52.37752,4.88164,"Entire apartment","Entire home/apt",1,149,6
"313",714884,"Centrum-Oost",52.36219,4.90972,"Entire apartment","Entire home/apt",1,130,24
"314",716781,"Zuid",52.35016,4.84947,"Entire apartment","Entire home/apt",1,110,11
"315",719623,"Centrum-West",52.38451,4.89094,"Entire apartment","Entire home/apt",1,156,85
"316",721291,"Westerpark",52.37745,4.87289,"Private room in apartment","Private room",1,72,184
"317",721897,"Westerpark",52.38435,4.86993,"Entire apartment","Entire home/apt",1,149,0
"318",724346,"De Pijp - Rivierenbuurt",52.35264,4.89699,"Entire apartment","Entire home/apt",1,108,29
"320",728145,"De Pijp - Rivierenbuurt",52.35158,4.89549,"Entire apartment","Entire home/apt",1,250,53
"321",728713,"Centrum-Oost",52.36362,4.90402,"Entire apartment","Entire home/apt",1,85,3
"322",729260,"Centrum-West",52.38114,4.8854,"Entire apartment","Entire home/apt",1,145,106
"324",730916,"Westerpark",52.3731,4.86859,"Private room in apartment","Private room",1,75,354
"325",730965,"Oud-Oost",52.36522,4.93107,"Entire apartment","Entire home/apt",1,99,28
"326",731834,"De Baarsjes - Oud-West",52.36434,4.87861,"Entire apartment","Entire home/apt",2,280,185
"327",733654,"Centrum-Oost",52.37297,4.922,"Entire apartment","Entire home/apt",2,150,10
"328",740003,"De Baarsjes - Oud-West",52.3589,4.85834,"Entire house","Entire home/apt",1,40,2
"329",740616,"Centrum-Oost",52.36213,4.91045,"Private room in apartment","Private room",1,99,77
"330",740995,"Centrum-Oost",52.36123,4.90882,"Entire apartment","Entire home/apt",2,111,149
"332",741398,"Centrum-West",52.37037,4.88669,"Entire apartment","Entire home/apt",1,175,49
"334",742634,"Centrum-Oost",52.36335,4.89779,"Entire apartment","Entire home/apt",1,150,39
"340",746067,"Centrum-West",52.38471,4.88943,"Entire apartment","Entire home/apt",1,136,80
"341",746807,"De Pijp - Rivierenbuurt",52.3524,4.9056,"Entire apartment","Entire home/apt",2,130,22
"342",747847,"De Baarsjes - Oud-West",52.36094,4.85266,"Private room in apartment","Private room",1,60,40
"343",754020,"De Pijp - Rivierenbuurt",52.34819,4.91069,"Entire apartment","Entire home/apt",2,219,69
"344",754524,"De Baarsjes - Oud-West",52.35928,4.84907,"Entire house","Entire home/apt",1,149,26
"345",754613,"Centrum-Oost",52.37266,4.90456,"Entire apartment","Entire home/apt",1,199,260
"346",755431,"De Baarsjes - Oud-West",52.37025,4.87482,"Private room in apartment","Private room",1,110,162
"347",755982,"Centrum-West",52.37658,4.88624,"Entire apartment","Entire home/apt",1,89,18
"348",758475,"De Baarsjes - Oud-West",52.3668,4.87126,"Entire apartment","Entire home/apt",1,100,39
"349",758600,"De Baarsjes - Oud-West",52.37396,4.8624,"Entire apartment","Entire home/apt",2,235,99
"350",759060,"Centrum-West",52.3695,4.88817,"Entire apartment","Entire home/apt",1,346,104
"351",759299,"De Baarsjes - Oud-West",52.36096,4.85352,"Entire apartment","Entire home/apt",3,225,9
"352",759402,"De Baarsjes - Oud-West",52.36495,4.8789,"Entire apartment","Entire home/apt",2,180,42
"353",760074,"Oostelijk Havengebied - Indische Buurt",52.36304,4.93588,"Entire apartment","Entire home/apt",1,90,7
"355",761411,"Noord-Oost",52.39942,4.95311,"Private room in apartment","Private room",2,42,251
"356",768274,"Centrum-West",52.38688,4.88489,"Entire apartment","Entire home/apt",1,221,61
"358",770281,"Zuid",52.35635,4.88589,"Entire apartment","Entire home/apt",1,135,23
"360",771343,"Centrum-West",52.37512,4.88282,"Private room in apartment","Private room",1,59,447
"362",772511,"Centrum-West",52.37697,4.88353,"Entire apartment","Entire home/apt",1,130,20
"363",774714,"Centrum-West",52.37764,4.88206,"Private room in apartment","Private room",1,66,12
"364",775655,"Centrum-Oost",52.37112,4.89946,"Private room in apartment","Private room",1,80,409
"365",776288,"Zuid",52.35544,4.8743,"Entire apartment","Entire home/apt",1,120,240
"366",778820,"De Baarsjes - Oud-West",52.35891,4.85574,"Entire apartment","Entire home/apt",1,110,2
"368",779297,"De Pijp - Rivierenbuurt",52.35484,4.90534,"Entire apartment","Entire home/apt",2,176,12
"369",780674,"Centrum-Oost",52.36912,4.907,"Entire apartment","Entire home/apt",1,159,28
"370",780873,"Watergraafsmeer",52.34929,4.915,"Entire apartment","Entire home/apt",2,165,27
"371",781253,"Centrum-West",52.37082,4.88509,"Entire apartment","Entire home/apt",1,118,47
"372",782254,"Centrum-West",52.36988,4.88862,"Entire apartment","Entire home/apt",2,399,48
"373",783348,"Gaasperdam - Driemond",52.3077,4.97896,"Entire apartment","Entire home/apt",1,90,34
"374",784277,"De Baarsjes - Oud-West",52.36686,4.8535,"Entire apartment","Entire home/apt",1,160,1
"375",784644,"De Baarsjes - Oud-West",52.36993,4.8689,"Entire apartment","Entire home/apt",1,118,68
"376",785432,"Centrum-Oost",52.36842,4.89901,"Entire apartment","Entire home/apt",2,200,783
"377",787331,"Zuid",52.35145,4.85362,"Entire apartment","Entire home/apt",1,110,4
"378",789630,"Bos en Lommer",52.37887,4.84544,"Entire apartment","Entire home/apt",1,125,67
"379",789743,"De Baarsjes - Oud-West",52.36414,4.87674,"Entire apartment","Entire home/apt",2,282,175
