"","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","bedrooms","price","number_of_reviews"
"8638",18265770,"Bijlmer-Centrum",52.3078,4.95793,"Entire apartment","Entire home/apt",1,95,15
"8639",18266190,"Oud-Noord",52.38223,4.91134,"Entire apartment","Entire home/apt",1,99,26
"8640",18266363,"De Baarsjes - Oud-West",52.37143,4.85633,"Entire apartment","Entire home/apt",2,92,11
"8641",18269132,"Zuid",52.35131,4.85389,"Entire apartment","Entire home/apt",1,55,8
"8642",18269139,"Noord-West",52.40678,4.89781,"Entire apartment","Entire home/apt",2,65,6
"8643",18269558,"Zuid",52.34728,4.85968,"Entire apartment","Entire home/apt",2,180,6
"8645",18270441,"De Baarsjes - Oud-West",52.36023,4.85433,"Entire apartment","Entire home/apt",1,100,14
"8646",18271165,"De Pijp - Rivierenbuurt",52.34208,4.90536,"Private room in apartment","Private room",1,100,2
"8648",18271815,"Oud-Oost",52.36429,4.92895,"Entire apartment","Entire home/apt",1,135,20
"8649",18278311,"De Pijp - Rivierenbuurt",52.34835,4.91029,"Entire apartment","Entire home/apt",3,110,4
"8650",18279105,"De Baarsjes - Oud-West",52.35938,4.84976,"Entire apartment","Entire home/apt",1,108,18
"8651",18281762,"Oud-Oost",52.35334,4.91029,"Entire house","Entire home/apt",2,198,28
"8652",18283006,"Noord-West",52.41293,4.92049,"Private room in apartment","Private room",1,34,19
"8653",18284885,"IJburg - Zeeburgereiland",52.357,4.99075,"Entire house","Entire home/apt",3,185,6
"8655",18285386,"De Baarsjes - Oud-West",52.35934,4.85073,"Entire apartment","Entire home/apt",2,275,17
"8656",18286642,"Westerpark",52.38149,4.86971,"Entire apartment","Entire home/apt",1,100,33
"8657",18288161,"Centrum-Oost",52.36387,4.88146,"Entire apartment","Entire home/apt",1,100,47
"8659",18289075,"Centrum-Oost",52.35942,4.89583,"Entire apartment","Entire home/apt",1,160,29
"8660",18290475,"Centrum-Oost",52.36958,4.91272,"Entire apartment","Entire home/apt",2,165,2
"8661",18298091,"Zuid",52.35015,4.85013,"Private room in apartment","Private room",1,100,159
"8662",18303077,"Noord-West",52.414,4.88305,"Entire apartment","Entire home/apt",1,90,2
"8663",18303887,"Centrum-Oost",52.36425,4.88338,"Entire apartment","Entire home/apt",4,386,8
"8664",18304300,"De Pijp - Rivierenbuurt",52.34945,4.88815,"Entire apartment","Entire home/apt",1,123,10
"8665",18304950,"Centrum-Oost",52.36521,4.88285,"Entire apartment","Entire home/apt",2,286,11
"8666",18305465,"Bos en Lommer",52.3784,4.85231,"Entire apartment","Entire home/apt",1,120,17
"8667",18306363,"Bos en Lommer",52.37801,4.85146,"Entire apartment","Entire home/apt",2,180,22
"8668",18308929,"De Pijp - Rivierenbuurt",52.35336,4.90108,"Entire apartment","Entire home/apt",1,50,10
"8669",18309070,"Oostelijk Havengebied - Indische Buurt",52.36204,4.9442,"Entire apartment","Entire home/apt",1,110,10
"8671",18310854,"Slotervaart",52.3547,4.83765,"Entire apartment","Entire home/apt",2,135,16
"8673",18319012,"Westerpark",52.38392,4.88011,"Entire apartment","Entire home/apt",2,170,8
"8675",18320167,"IJburg - Zeeburgereiland",52.35197,4.99801,"Entire house","Entire home/apt",2,65,6
"8676",18320209,"De Pijp - Rivierenbuurt",52.34992,4.88773,"Entire apartment","Entire home/apt",1,120,20
"8677",18322535,"Oostelijk Havengebied - Indische Buurt",52.35979,4.93932,"Entire apartment","Entire home/apt",1,128,11
"8680",18326657,"Westerpark",52.38341,4.87126,"Private room in apartment","Private room",1,62,10
"8681",18334591,"Centrum-West",52.37549,4.87851,"Entire apartment","Entire home/apt",1,166,4
"8682",18335332,"Centrum-West",52.37844,4.88374,"Entire apartment","Entire home/apt",1,200,2
"8683",18335433,"Noord-West",52.41783,4.90054,"Entire house","Entire home/apt",2,229,30
"8684",18337087,"Watergraafsmeer",52.35603,4.94466,"Entire apartment","Entire home/apt",3,136,53
"8685",18337911,"Oud-Oost",52.36395,4.92602,"Entire apartment","Entire home/apt",1,127,10
"8686",18338304,"Zuid",52.3522,4.88024,"Entire apartment","Entire home/apt",2,95,10
"8687",18338487,"Buitenveldert - Zuidas",52.32494,4.87243,"Entire apartment","Entire home/apt",3,175,8
"8688",18339579,"Centrum-Oost",52.36925,4.91319,"Entire house","Entire home/apt",1,99,5
"8689",18340216,"Bos en Lommer",52.37833,4.85104,"Entire apartment","Entire home/apt",1,115,26
"8690",18342007,"Oud-Oost",52.35727,4.91725,"Private room in apartment","Private room",1,40,2
"8691",18349213,"Oud-Oost",52.36111,4.92879,"Entire apartment","Entire home/apt",1,155,6
"8693",18351893,"Slotervaart",52.36878,4.84874,"Entire apartment","Entire home/apt",1,100,5
"8694",18353166,"De Pijp - Rivierenbuurt",52.3562,4.89023,"Entire apartment","Entire home/apt",1,224,18
"8695",18353900,"Centrum-Oost",52.36545,4.92448,"Entire apartment","Entire home/apt",1,145,7
"8696",18354767,"Zuid",52.35002,4.84686,"Entire apartment","Entire home/apt",1,123,4
"8697",18356393,"Slotervaart",52.3522,4.832,"Entire apartment","Entire home/apt",1,70,0
"8700",18364332,"De Baarsjes - Oud-West",52.36118,4.86011,"Entire apartment","Entire home/apt",1,120,4
"8701",18364443,"Centrum-Oost",52.35956,4.89568,"Entire apartment","Entire home/apt",2,190,8
"8703",18366080,"De Baarsjes - Oud-West",52.36666,4.86953,"Entire apartment","Entire home/apt",1,150,2
"8704",18366311,"Centrum-West",52.37592,4.8923,"Private room in apartment","Private room",1,130,9
"8705",18366981,"De Pijp - Rivierenbuurt",52.35309,4.89401,"Private room in apartment","Private room",1,50,2
"8706",18367766,"Centrum-West",52.38565,4.88738,"Entire house","Entire home/apt",1,1000,3
"8707",18367895,"Bijlmer-Centrum",52.3265,4.94712,"Entire apartment","Entire home/apt",1,130,0
"8709",18368030,"De Pijp - Rivierenbuurt",52.35843,4.90263,"Entire apartment","Entire home/apt",1,244,23
"8710",18371253,"Centrum-Oost",52.36962,4.92981,"Entire apartment","Entire home/apt",3,79,0
"8711",18372140,"Westerpark",52.37767,4.87404,"Entire apartment","Entire home/apt",1,131,24
"8712",18372768,"Buitenveldert - Zuidas",52.32791,4.85661,"Entire apartment","Entire home/apt",3,195,16
"8713",18378585,"Oud-Noord",52.38622,4.93543,"Private room in apartment","Private room",1,120,25
"8714",18381036,"Bos en Lommer",52.38199,4.85456,"Entire apartment","Entire home/apt",1,100,3
"8715",18381963,"Zuid",52.35139,4.853,"Entire apartment","Entire home/apt",1,119,6
"8716",18382299,"Oud-Oost",52.36193,4.9283,"Private room in apartment","Private room",1,65,32
"8717",18382689,"Watergraafsmeer",52.35381,4.9339,"Entire house","Entire home/apt",3,199,1
"8718",18383073,"De Pijp - Rivierenbuurt",52.35262,4.90282,"Private room in house","Private room",1,80,0
"8719",18383268,"Centrum-West",52.38261,4.88709,"Entire apartment","Entire home/apt",1,104,10
"8720",18384273,"De Baarsjes - Oud-West",52.36497,4.87364,"Entire apartment","Entire home/apt",1,145,27
"8721",18385269,"Westerpark",52.3823,4.86769,"Entire apartment","Entire home/apt",1,108,3
"8722",18389307,"Centrum-Oost",52.37078,4.92944,"Entire apartment","Entire home/apt",1,135,17
"8723",18389592,"Centrum-West",52.36798,4.89487,"Entire apartment","Entire home/apt",2,165,9
"8724",18391934,"De Pijp - Rivierenbuurt",52.34297,4.91263,"Private room in apartment","Private room",1,70,10
"8726",18400977,"De Baarsjes - Oud-West",52.36265,4.85894,"Entire apartment","Entire home/apt",1,118,24
"8727",18402700,"Bos en Lommer",52.37316,4.8505,"Entire apartment","Entire home/apt",1,70,16
"8728",18404346,"Bijlmer-Centrum",52.3113,4.95129,"Entire apartment","Entire home/apt",1,110,3
"8729",18404760,"De Baarsjes - Oud-West",52.36226,4.86551,"Entire apartment","Entire home/apt",2,238,19
"8730",18405137,"De Pijp - Rivierenbuurt",52.34834,4.89061,"Entire apartment","Entire home/apt",1,120,17
"8731",18405300,"Slotervaart",52.35366,4.83047,"Entire apartment","Entire home/apt",2,94,21
"8732",18405942,"De Pijp - Rivierenbuurt",52.3533,4.88921,"Entire apartment","Entire home/apt",2,259,11
"8733",18407458,"Watergraafsmeer",52.34728,4.93936,"Entire apartment","Entire home/apt",3,135,9
"8734",18407727,"Westerpark",52.38213,4.87222,"Entire apartment","Entire home/apt",1,80,6
"8735",18407750,"Zuid",52.35259,4.85173,"Entire apartment","Entire home/apt",1,125,21
"8736",18407771,"Centrum-West",52.37699,4.87754,"Private room in apartment","Private room",1,96,154
"8737",18410560,"Centrum-West",52.3659,4.8952,"Entire apartment","Entire home/apt",1,187,1
"8739",18411342,"Oud-Noord",52.39143,4.90901,"Entire house","Entire home/apt",1,140,22
"8741",18418621,"Westerpark",52.37437,4.86662,"Entire apartment","Entire home/apt",1,75,5
"8742",18419273,"De Baarsjes - Oud-West",52.36401,4.85816,"Entire apartment","Entire home/apt",1,79,26
"8745",18419949,"De Pijp - Rivierenbuurt",52.34725,4.9012,"Entire apartment","Entire home/apt",2,150,65
"8746",18420156,"Oostelijk Havengebied - Indische Buurt",52.37384,4.94244,"Entire apartment","Entire home/apt",3,250,7
