"R0000100","R0000300","R0000500","R0173600","R0214700","R0214800","R0410100","R0410300","R0614800","R0614900","R0615100","R0615200","R0615300","R0615400","R0615700","R0618011","R0618017","R0618100","R0618200","R0618300","R0810200","R3127500","R3127800","R3401000","R3523200","R3523500","R3559000","R3656400","R3728200","R3728500","R3897100","R4006900","R4182300","R4295100","R4416800","R4418000","R4982800","R5079800","R5081000"
1,9,58,5,3,2,9,58,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,1,59,5,3,2,1,59,51,1,8,15,6,29,6,36,38,35,12,9,2,1,1098,1,1,1098,20000,1,1,1263,22000,1,1,25000,1373,4,0,-4,7
3,8,61,5,3,2,-5,-5,51,0,13,29,12,46,13,43,49,54,51,46,2,3,636,6,3,82,4000,2,3,153,4000,1,3,6000,581,4,0,-4,7
4,8,62,5,3,2,8,62,51,0,18,29,12,46,10,50,44,54,62,48,2,1,1428,6,-5,-5,-5,-5,1,1528,30500,1,1,33000,1250,1,-5,-5,-5
5,7,59,1,3,1,7,59,51,1,30,35,13,35,25,66,68,60,90,99,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6,10,60,1,3,1,10,60,51,1,30,35,15,45,23,66,65,62,99,99,1,1,1105,1,1,1298,25000,1,1,1250,26000,1,2,28000,1586,1,32500,1682,1
7,6,64,1,3,1,6,64,51,0,14,27,8,32,11,45,46,48,33,35,1,-4,-4,8,-4,-4,1500,8,-4,-4,1000,8,1,0,852,1,27000,1052,7
8,7,58,6,3,2,7,58,51,1,13,35,12,24,4,43,35,59,43,42,2,1,777,1,1,775,17900,1,1,820,18000,1,1,18000,831,1,20500,907,1
9,7,63,1,3,1,7,63,51,0,21,28,10,40,13,54,49,51,55,51,1,1,1090,1,1,961,25000,1,1,1000,25000,1,1,19000,961,7,20000,545,1
10,10,60,6,3,2,10,60,51,0,15,15,11,40,9,46,43,39,27,21,2,1,550,1,1,685,12000,1,1,700,18000,1,1,12000,755,1,15000,635,1
11,7,59,1,3,1,7,59,51,1,21,34,15,32,20,54,60,61,71,81,1,1,3205,1,1,2884,61000,1,1,2884,55000,1,1,60000,2307,1,80000,3205,1
12,9,59,5,3,2,9,59,51,1,27,35,13,46,21,62,62,60,94,89,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,40000,2564,1,42600,2967,1
13,8,58,1,3,1,8,58,51,1,30,29,13,36,24,66,66,54,78,85,1,1,1398,1,1,1474,46000,1,1,1230,42000,1,1,46000,1166,1,41000,2000,1
14,10,63,5,3,2,10,63,51,0,26,32,15,44,25,61,68,59,88,92,2,1,1298,1,1,1486,25000,1,1,1565,31000,1,1,28000,1620,1,29000,540,1
15,2,64,1,3,1,2,64,51,0,25,32,14,43,12,59,48,58,83,69,1,-4,-4,3,1,960,2000,1,1,1090,30000,1,1,26000,1346,1,30000,1442,1
16,10,58,5,3,2,10,58,51,1,17,30,12,49,17,49,55,54,63,57,2,1,1978,1,1,1802,35000,1,1,2087,37500,1,1,34000,2250,1,28000,2400,1
17,1,57,1,3,1,1,57,51,1,29,33,13,35,21,65,62,58,84,88,1,3,1000,1,3,469,12000,1,1,1250,15000,2,1,12000,700,1,16073,1098,1
18,3,58,1,3,1,3,58,51,1,30,35,14,48,23,66,65,61,99,98,1,1,-4,1,1,-4,100000,1,1,-4,4115087,1,1,156359,5048,1,167697,6043,1
19,12,57,5,3,2,12,57,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,-4,-4,4,-4,-4,0,4,-4,-4,0,4,-4,0,-4,4,0,-4,7
20,11,59,5,3,2,11,59,51,1,17,28,14,39,20,49,60,54,54,63,2,1,1634,2,1,1800,24000,1,1,1682,35000,1,1,38000,1826,1,40800,2009,1
21,6,61,5,3,2,6,61,51,1,29,33,13,49,25,65,68,58,94,94,2,1,1495,1,1,1223,32000,1,1,1461,35000,1,1,41000,1576,1,50500,1904,1
22,1,63,5,3,2,1,63,51,1,27,31,14,42,22,62,63,57,84,84,2,1,745,2,1,805,16200,1,1,846,17600,1,1,17900,930,1,17700,972,1
23,9,58,1,3,1,9,58,51,1,29,35,11,46,23,65,65,58,94,91,1,-5,-5,-5,1,1643,50000,1,1,1748,45000,1,-5,-5,-5,-5,-5,-5,-5
24,1,61,1,3,1,1,61,51,0,22,33,13,31,10,55,44,58,66,61,1,1,1282,1,-5,-5,-5,-5,1,1337,11000,1,1,32000,1442,1,35000,1435,1
25,11,59,5,3,2,11,59,51,1,20,27,11,48,18,53,57,51,60,57,2,1,1201,1,1,1243,22000,1,1,1243,8400,4,1,8000,641,2,12000,1250,2
26,9,62,1,3,1,9,62,51,1,29,33,14,50,25,65,68,59,96,96,1,-4,-4,8,-4,-4,0,8,-4,-4,0,8,-4,0,-4,8,-5,-5,-5
27,5,60,5,3,2,5,60,51,1,28,34,14,34,25,64,68,60,85,97,2,-4,-4,4,-4,-4,0,7,-4,-4,0,4,3,0,436,1,0,-4,7
28,1,64,5,3,2,1,64,51,0,30,33,12,45,25,66,68,57,93,93,2,1,833,1,1,1000,23000,1,1,275,13000,1,1,25000,1400,1,20000,1000,1
29,10,60,5,3,2,10,60,51,1,12,9,11,39,9,42,43,34,18,13,2,1,1087,1,1,1068,35000,2,1,921,37000,1,1,41000,1091,1,-2,1700,1
30,11,58,5,3,2,11,58,51,1,8,13,5,40,9,36,43,32,14,9,2,-4,-4,4,-4,-4,0,7,-4,-4,0,4,-4,0,-4,4,0,-4,7
31,10,63,4,1,1,10,63,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,805,1,1,875,15000,1,1,775,21000,1,1,22000,651,1,31000,787,1
32,11,57,8,1,2,11,57,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,-5,-5,-5,-5,-5,-5,-5,1,897,6000,1,1,30000,1118,1,30000,1280,1
33,5,62,4,1,1,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,1,-4,4000,6,1,450,3200,1,1,-2,-4,1,-1,-4,1
34,12,58,1,3,1,12,58,51,1,8,20,8,24,3,36,33,41,15,13,1,1,1560,1,1,2173,45000,1,1,1644,42000,1,1,43000,1644,2,42000,1794,1
35,8,63,5,3,2,8,63,51,0,15,29,11,36,11,46,46,53,45,44,2,1,1104,1,1,1213,23800,1,1,1213,23000,1,1,25000,1249,2,27000,1299,1
36,8,62,1,3,1,8,62,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1000,1,1,1068,24693,1,1,1201,25000,1,1,24200,941,1,27300,723,1
37,10,58,5,3,2,10,58,51,1,21,31,13,32,12,54,48,56,60,59,2,1,1009,4,-4,-4,10000,4,-4,-4,0,4,-4,0,-4,4,0,-4,7
38,8,62,5,3,2,8,62,51,0,9,17,9,30,5,38,37,39,17,13,2,2,1397,1,2,1442,25000,1,2,1428,26000,2,2,34000,1631,1,33490,1785,1
39,2,59,1,3,1,2,59,51,1,16,23,10,35,8,47,41,46,35,29,1,1,1123,1,1,1236,45000,1,1,115384,70000,2,1,54000,1666,1,48000,2222,2
40,2,60,2,3,1,2,60,51,1,13,25,10,41,15,43,52,48,38,38,1,2,1125,1,-4,-4,3500,8,-4,-4,1400,8,-4,2500,775,8,30000,-4,8
41,4,62,2,3,1,4,62,51,1,15,29,11,36,18,46,57,53,45,54,1,1,1608,1,1,1395,48000,1,1,2272,65000,1,1,69000,2653,1,60000,1989,1
42,9,63,1,3,1,9,63,51,0,12,17,7,36,8,42,41,37,20,16,1,1,1300,1,1,1100,24000,1,1,1282,9000,1,1,29500,1285,1,32000,1367,1
43,6,61,6,3,2,6,61,51,1,6,15,6,25,13,34,49,35,9,13,2,1,425,1,1,416,2000,4,1,505,-2,3,-4,0,-4,5,0,-4,4
44,4,61,5,3,2,4,61,51,1,17,25,11,36,9,49,43,49,42,37,2,-4,-4,4,1,485,0,1,1,600,3000,2,1,5200,825,1,-5,-5,-5
45,11,59,1,3,1,11,59,51,1,16,28,13,29,12,47,48,54,43,49,1,1,1538,1,3,1636,32000,1,3,961,25000,1,3,0,734,1,20000,641,1
46,11,62,5,3,2,11,62,51,0,14,28,15,48,21,45,62,55,58,63,2,2,1538,1,1,1635,34000,1,1,1682,34000,1,1,33000,1586,1,36000,1730,7
47,2,59,1,3,1,2,59,51,1,26,33,13,35,16,61,54,58,78,77,1,1,1500,1,1,1500,45000,1,1,1730,35000,1,1,47000,2008,1,43000,1503,1
48,10,58,2,3,1,-5,-5,51,1,15,29,6,34,8,46,41,48,36,32,1,-5,-5,-5,1,1500,12000,6,-4,-4,10000,4,-4,0,-4,4,0,-4,5
49,5,58,5,3,2,5,58,51,1,26,28,14,50,14,61,51,54,81,66,2,1,1758,1,1,1700,22000,1,1,1754,24757,1,1,27216,1500,1,23940,1500,2
50,9,58,5,3,2,9,58,51,0,24,32,15,50,18,58,57,59,87,79,2,1,1200,1,1,1199,23700,1,1,1263,27000,1,3,23000,171,4,3120,150,1
51,1,63,1,3,1,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
52,9,58,1,3,1,9,58,51,1,28,32,12,50,23,64,65,56,89,86,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
53,3,63,4,1,1,3,63,51,0,18,26,10,29,11,50,46,49,38,41,1,-4,-4,7,-4,-4,0,7,-4,-4,0,6,-4,0,-4,7,0,-4,5
54,6,58,1,3,1,6,58,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,1250,1,2,1400,32000,1,2,1490,31000,2,2,31000,1500,1,-5,-5,-5
55,11,58,1,3,1,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
56,5,64,5,3,2,5,64,51,0,17,30,12,27,16,49,54,54,44,56,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
57,5,58,5,3,2,5,58,51,1,15,28,11,29,8,46,41,52,38,38,2,1,862,1,3,2200,24000,1,3,1083,31000,1,3,0,615,1,22000,1602,1
58,1,57,5,3,2,1,57,51,1,26,35,15,49,18,61,57,62,96,87,2,2,1474,1,2,1666,26000,1,2,1794,27000,1,2,30000,1686,1,33200,1742,1
59,1,59,1,3,1,11,59,51,1,27,34,15,50,25,62,68,61,96,97,1,1,1346,1,1,1394,29000,1,1,1298,27000,1,1,29000,1394,1,29000,1394,1
60,8,61,1,3,1,8,61,51,1,23,29,15,35,20,57,60,56,68,75,-5,1,2884,1,1,-4,-1,1,1,2884,60000,1,1,65000,3125,1,65000,2980,1
61,9,62,5,3,2,9,62,51,1,28,35,15,49,25,64,68,62,99,99,2,1,1075,1,1,1173,24400,1,1,752,23471,2,1,35000,1294,1,28000,1442,1
62,7,64,5,3,2,7,64,51,0,12,25,10,32,10,42,44,48,30,31,2,1,1143,1,1,1143,25000,2,1,1265,25000,1,1,26000,1315,1,27810,1445,1
63,2,60,1,3,1,2,60,51,1,28,35,13,47,21,64,62,60,95,91,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,55500,2478,1,65000,2115,1
64,9,61,1,3,1,9,61,51,1,25,35,14,32,21,59,62,61,79,88,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
65,10,63,5,3,2,10,63,51,0,19,33,12,47,20,51,60,57,72,71,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
66,1,64,1,3,1,1,64,51,0,8,23,6,18,8,36,41,42,14,18,1,2,2800,1,-5,-5,-5,-5,2,-4,-1,1,2,-1,-4,1,-1,-4,1
67,1,58,1,3,1,1,58,51,1,30,34,14,50,25,66,68,60,99,99,1,1,5,1,1,-4,84000,3,1,-4,4115087,1,1,156359,10207,1,167697,-4,1
68,3,62,5,3,2,3,62,51,1,30,35,15,46,25,66,68,62,99,99,2,1,1965,1,1,2179,48000,3,1,1811,30000,1,1,44000,1923,1,26600,-4,7
69,7,64,1,3,1,7,64,51,0,27,29,13,35,21,62,62,54,72,78,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,35000,1641,1,40000,1923,1
70,3,61,1,3,1,3,61,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1155,2,1,1000,25000,1,1,1000,41000,1,1,25000,1170,1,27000,1181,1
71,5,63,1,3,1,5,63,51,0,30,35,14,49,25,66,68,61,99,99,1,1,2156,1,1,3509,73000,1,1,2727,78000,1,1,81000,2781,1,-5,-5,-5
72,12,59,5,3,2,12,59,51,1,30,30,13,49,22,66,63,55,91,84,2,1,1543,1,1,20113,30000,1,1,1000,32000,1,1,25000,2500,1,15000,1428,1
73,11,63,1,3,1,9,63,51,0,18,34,13,36,18,50,57,59,64,71,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,40000,1538,1,28000,1538,1
74,11,59,5,3,2,11,59,51,1,26,35,15,38,22,61,63,62,88,93,2,1,-4,1,1,-4,0,1,1,-4,-1,1,1,-1,-4,1,-1,-4,1
75,3,62,5,3,2,3,62,51,1,16,33,14,41,18,47,57,59,65,68,2,1,1201,1,1,1682,29000,1,1,1682,35000,1,1,30000,1730,1,40000,1923,1
76,2,64,1,3,1,2,64,51,0,15,24,9,26,10,46,44,46,27,31,1,1,1087,1,1,1250,26000,1,1,1000,26000,1,1,24000,1000,1,24000,1000,1
77,5,64,5,3,2,5,64,51,0,25,30,15,23,24,59,66,57,60,84,2,1,1239,1,1,1538,30900,1,1,1538,40000,1,1,45000,1752,1,43200,1803,1
78,4,57,5,3,2,4,57,51,1,25,35,14,31,21,59,62,61,78,88,2,1,1694,1,1,1710,15492,1,1,1889,10400,4,-4,0,-4,4,0,-4,7
79,4,60,1,3,1,4,60,51,1,29,34,14,46,24,65,66,60,97,96,1,1,-4,1,1,-4,98000,1,1,-4,4115087,1,1,156359,5515,2,167697,6410,2
80,6,63,1,3,1,6,63,51,0,24,29,12,32,19,58,58,54,60,70,1,1,-4,2,1,581,7500,1,1,652,8000,1,1,7500,465,1,16000,581,1
81,9,64,1,3,1,9,64,51,0,11,20,10,28,8,40,41,43,21,21,1,1,550,1,1,550,4000,1,1,500,3000,2,1,4000,1625,1,4000,-4,1
82,9,58,3,2,1,9,58,51,0,9,9,3,2,3,38,33,26,1,2,-5,-4,-4,7,-4,-4,0,7,-4,-4,0,7,-4,0,-4,6,0,650,1
83,7,60,3,2,1,7,60,51,0,8,10,5,12,4,36,35,29,4,4,1,-4,-4,3,1,468,0,3,1,537,-2,1,1,-2,537,6,0,-4,6
84,4,63,3,2,1,4,63,51,0,10,13,8,28,8,39,41,35,13,12,1,-4,-4,7,-4,-4,0,3,-4,-4,0,3,-4,0,-4,7,200,-4,7
85,6,59,3,2,1,6,59,53,0,6,5,5,4,6,34,38,24,1,1,1,1,372,6,-4,-4,0,7,-4,-4,0,7,-4,-2,-4,7,100,-4,7
86,10,60,7,2,2,10,60,51,0,4,7,5,5,9,31,43,26,1,3,2,-4,-4,3,1,615,630,1,1,685,1900,1,1,2200,710,1,-2,600,1
87,4,63,3,2,1,4,63,51,0,9,5,5,9,8,38,41,24,2,3,1,1,575,1,1,421,7000,1,1,482,12500,1,1,16000,700,3,2500,850,1
88,4,57,3,2,1,4,57,51,1,28,33,14,40,23,64,65,59,88,92,1,1,1057,1,1,1031,21500,1,1,1105,30000,1,1,21000,1009,1,20000,1057,1
89,3,59,7,2,2,3,59,51,1,24,34,15,40,17,58,55,61,84,80,2,1,1568,1,1,1816,36000,1,1,1923,36000,1,1,34500,1880,1,39000,2083,1
90,9,58,1,3,1,9,58,51,1,28,32,13,29,24,64,66,57,74,89,1,1,2317,1,1,2500,48000,1,1,2596,54000,1,1,54000,2596,1,63000,3028,1
91,7,63,5,3,2,7,63,51,0,4,18,8,46,11,31,46,39,19,15,2,1,1340,1,1,1346,28000,1,1,1375,28000,3,1,15000,1538,1,32000,1282,1
92,8,62,5,3,2,8,62,51,0,10,26,12,34,13,39,49,51,33,37,2,1,500,1,1,550,3500,3,2,780,950,4,2,3000,780,1,3500,395,3
93,6,64,1,3,1,6,64,51,0,9,18,9,23,10,38,44,40,15,18,1,1,575,1,1,800,18900,1,1,800,18900,1,1,18000,800,1,17000,950,1
94,2,57,1,3,1,2,57,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1073,1,1,1210,27000,1,1,1144,25000,1,1,-1,-4,1,27000,1298,1
95,7,60,5,3,2,7,60,51,1,12,20,13,30,8,42,41,46,27,26,2,1,566,1,1,700,6000,1,1,775,7000,1,1,6000,775,1,12000,600,1
96,6,61,6,3,2,6,61,51,0,14,21,12,41,11,45,46,46,36,32,2,2,1067,1,1,930,22000,3,2,1098,18000,1,2,23000,1208,1,23000,1271,1
97,2,58,5,3,2,2,58,51,0,17,33,14,34,15,49,52,59,60,65,2,1,1435,2,1,1600,29000,1,1,1802,30000,1,1,35000,1632,1,36000,1692,1
98,9,57,6,3,2,9,57,51,1,23,32,13,38,16,57,54,57,72,71,2,-4,-4,4,-4,-4,0,4,-4,-4,0,4,-4,0,-4,4,0,-4,7
99,9,57,5,3,2,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,1,550,1,3,2500,2500,1,1,640,700,1,3,2500,750,1,500,200,2
100,10,63,5,3,2,10,63,51,0,16,22,10,38,9,47,43,45,35,29,2,2,1035,1,2,897,21000,2,2,690,14000,1,2,25000,1201,1,26000,1111,1
101,9,58,1,3,1,9,58,51,1,30,31,14,26,25,66,68,57,74,93,1,1,1523,1,1,1880,44000,1,1,1807,47000,1,1,50000,1597,1,54000,1582,1
102,8,64,5,3,2,8,64,51,0,18,22,11,38,21,50,62,46,40,50,2,2,934,1,2,1428,20000,1,2,1800,30000,1,2,32000,2355,1,-1,-4,1
103,5,58,1,3,1,5,58,51,1,26,31,13,27,23,61,65,56,65,84,1,1,1682,1,1,1819,33000,1,1,1819,44000,1,1,45000,1730,1,47000,2442,1
104,6,58,5,3,2,6,58,51,1,13,32,12,27,13,43,49,56,41,50,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,38000,1972,1,40800,1747,1
105,9,58,6,3,2,9,58,51,1,28,32,14,48,20,64,60,58,93,85,2,1,1112,1,1,1081,26300,1,1,1329,24200,1,1,24200,1439,1,26200,1439,1
106,1,61,1,3,1,1,61,51,1,30,35,12,50,23,66,65,59,98,94,1,1,1529,1,1,1581,37000,1,1,1923,40000,1,1,36000,1846,1,52000,2000,1
107,2,62,1,3,1,2,62,51,1,19,31,11,48,16,51,54,54,67,58,1,1,1221,1,1,1201,25000,3,1,1250,25000,1,1,27000,1298,1,28000,1767,1
108,7,58,1,3,1,7,58,51,1,30,34,15,47,20,66,60,61,99,93,1,1,1052,1,1,650,12000,2,1,769,16000,1,2,20000,1100,1,20000,1100,1
109,4,62,5,3,2,4,62,51,1,13,34,13,28,9,43,43,59,46,50,2,1,1231,1,1,1492,29500,1,1,1619,32000,1,1,35900,1816,1,36000,1871,1
110,5,57,1,3,1,5,57,51,1,21,34,13,41,18,54,57,59,75,75,1,1,1706,1,1,1802,35500,1,1,1899,36700,1,1,42500,1945,1,42900,2115,1
111,6,59,5,3,2,6,59,51,1,12,31,12,21,10,42,44,55,33,42,2,-4,-4,4,-4,-4,0,4,3,444,1600,1,1,-2,375,1,-2,700,4
112,9,63,5,3,2,9,63,51,0,10,26,11,29,10,39,44,50,28,32,2,1,820,1,1,769,18500,3,1,950,17000,1,1,27000,750,1,20000,450,1
113,1,63,1,3,1,1,63,51,0,24,27,11,41,16,58,54,51,63,59,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
114,1,57,1,3,1,1,57,51,1,28,30,14,33,14,64,51,56,76,73,1,1,1614,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
115,8,60,5,3,2,8,60,51,1,20,35,13,26,21,53,62,60,59,80,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
116,12,63,5,3,2,12,63,51,0,11,30,12,48,21,40,62,54,50,55,2,-5,-5,-5,1,1500,22500,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
117,9,59,1,3,1,9,59,51,1,29,35,15,35,22,65,63,62,92,97,1,1,1410,1,1,1440,42000,1,1,1615,42000,1,1,44000,1692,1,54000,1800,1
118,10,61,5,3,2,10,61,51,0,10,25,13,31,7,39,40,51,31,30,2,1,888,1,1,889,18500,1,1,860,16000,1,1,24000,1153,1,22000,1085,1
119,5,57,1,3,1,5,57,51,1,7,31,13,20,7,35,40,56,27,35,1,1,710,1,3,274,15000,1,3,797,5000,1,3,0,274,1,5000,320,1
120,3,62,1,3,1,3,62,51,1,30,34,13,49,25,66,68,59,98,97,1,1,1538,1,1,1318,62500,1,1,2403,75000,1,1,156359,4166,1,98000,3205,1
121,9,64,5,3,2,9,64,51,0,21,34,14,45,23,54,65,60,81,84,2,1,1250,1,1,1000,26000,1,1,1442,30000,1,1,28000,1442,4,1200,800,1
122,11,61,1,3,1,11,61,51,1,21,30,11,41,13,54,49,54,63,56,1,3,1035,1,1,1500,0,1,1,1602,50000,1,1,26000,833,1,45000,1573,1
123,7,62,1,3,1,7,62,51,1,27,32,14,46,24,62,66,58,90,89,1,1,1057,1,-5,-5,-5,-5,-5,-5,-5,-5,1,29000,1394,1,31000,1490,1
124,3,61,5,3,2,3,61,51,0,9,30,11,25,9,38,43,54,29,36,2,1,500,4,1,2000,1200,3,-4,-4,0,4,-4,0,-4,4,0,-4,7
125,2,57,1,3,1,2,57,51,1,16,20,9,28,16,47,54,42,25,33,1,1,750,1,1,750,12000,1,1,826,12000,1,1,15000,1075,1,37500,1475,1
126,12,58,1,3,1,12,58,51,1,25,30,14,35,16,59,54,56,72,71,1,1,2153,1,1,1853,53000,1,1,1503,43000,1,3,0,1602,1,46000,1669,1
127,3,60,1,3,1,3,60,51,0,12,29,11,28,10,42,44,53,34,39,1,-5,-5,-5,-4,-4,0,6,-4,-4,0,6,1,720,450,6,120,-4,5
128,7,58,5,3,2,7,58,51,1,27,33,12,50,13,62,49,57,89,71,2,1,1329,1,1,50600,26000,1,1,1463,28157,1,1,31000,1585,1,33000,1819,1
129,9,60,1,3,1,9,60,51,1,28,33,14,25,23,64,65,59,73,92,1,2,1831,1,2,1888,44000,1,2,2060,50000,1,2,53000,2060,1,55000,2173,1
130,10,59,6,3,2,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
131,4,60,6,3,2,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
132,9,59,6,3,2,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
133,12,62,5,3,2,12,62,51,0,14,26,13,47,13,45,49,52,49,44,2,1,1247,1,1,1340,27000,1,1,1720,34000,1,1,35000,1771,1,32000,1518,1
134,6,61,1,3,1,6,61,51,0,20,24,10,39,18,53,57,47,46,50,1,1,1875,1,1,1650,38000,3,1,2195,56000,2,1,35000,1666,1,62500,1849,1
135,8,64,1,3,1,8,64,51,0,14,22,12,32,8,45,41,47,32,29,1,1,1100,1,1,1100,23000,1,1,1550,23000,1,1,33000,1200,1,34000,1682,1
136,10,57,5,3,2,-5,-5,51,1,7,16,9,25,4,35,35,38,13,10,2,1,1123,1,1,1025,22000,3,-4,-4,0,3,-4,0,-4,3,1000,475,7
137,7,61,5,3,2,7,61,51,1,28,31,13,48,24,64,66,56,89,87,2,2,2668,1,2,2692,56000,2,2,2884,35000,1,2,36000,2283,1,50000,3798,1
138,11,62,5,3,2,11,62,51,1,24,30,14,45,23,58,65,56,79,80,2,3,250,1,3,300,8000,4,3,800,0,4,1,5000,350,1,7000,555,1
139,12,63,1,3,1,12,63,51,0,24,31,14,32,11,58,46,57,69,64,1,1,1296,1,3,1000,0,1,1,1000,28000,1,1,28000,961,1,-5,-5,-5
140,9,58,5,3,2,9,58,51,1,19,34,14,32,18,51,57,60,65,74,2,2,1538,2,2,1923,38600,2,2,1971,39000,1,2,40000,2019,1,42000,2176,7
141,7,62,5,3,2,7,62,51,1,21,34,14,34,21,54,62,60,71,81,2,1,291,1,1,817,5000,1,1,817,16995,3,1,3500,600,7,0,-4,7
142,1,60,1,3,1,1,60,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1750,1,1,1260,33000,3,1,1400,31000,1,1,32000,1400,1,33000,1410,1
143,6,61,5,3,2,6,61,51,1,20,33,11,40,15,53,52,56,66,63,2,-5,-5,-5,1,1602,30000,1,1,2023,35000,1,1,38000,1875,1,37000,1694,1
144,7,64,5,3,2,7,64,51,0,15,22,7,35,13,46,49,42,28,29,2,1,961,1,1,800,15000,1,1,800,13000,4,-4,4600,-4,4,0,-4,7
145,8,62,1,3,1,8,62,51,0,16,31,12,35,13,47,49,55,51,52,1,1,577,1,1,700,16000,3,-4,-4,0,3,1,5000,500,1,10000,625,1
146,1,64,1,3,1,1,64,51,0,29,32,12,29,21,65,62,56,74,84,1,-4,-4,8,-4,-4,0,8,-4,-4,0,8,1,6000,558,1,18900,727,1
147,6,61,5,3,2,6,61,51,1,10,23,10,44,9,39,43,46,32,25,2,1,1200,4,-4,-4,0,4,-4,-4,0,4,-4,0,-4,4,0,-4,7
148,3,63,1,3,1,3,63,51,0,24,30,13,31,14,58,51,55,64,65,1,1,1150,1,1,1236,27000,1,1,1227,30000,1,1,36000,1304,1,36500,1300,1
149,2,64,5,3,2,2,64,51,0,14,22,10,33,10,45,44,45,30,29,2,1,1469,1,1,1610,29000,1,1,1741,33500,1,1,35000,2168,1,43500,2467,1
150,9,59,1,3,1,9,59,51,1,14,31,11,30,8,45,41,54,42,41,1,1,675,1,1,715,25000,1,1,728,23000,1,1,26000,625,1,25000,750,1
151,12,57,5,3,2,12,57,53,1,14,24,10,35,11,45,46,47,34,33,2,3,2884,1,3,-4,0,1,3,-4,0,1,3,0,-4,1,-1,-4,1
152,10,61,5,3,2,10,61,51,1,30,33,14,42,22,66,63,59,94,92,2,1,1586,1,1,1966,38500,1,1,2182,38000,1,1,37500,2086,1,45400,2182,1
153,1,63,5,3,2,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,1,629,1,1,765,20000,1,1,1236,18000,1,1,13000,800,1,20000,1062,1
154,9,64,5,3,2,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
155,10,63,1,3,1,10,63,51,0,11,27,10,35,12,40,48,50,34,35,1,1,1363,1,1,1454,38000,1,1,1350,28500,3,1,10000,1000,3,38000,1617,1
