"R0000100","R0000300","R0000500","R0173600","R0214700","R0214800","R0410100","R0410300","R0614800","R0614900","R0615100","R0615200","R0615300","R0615400","R0615700","R0618011","R0618017","R0618100","R0618200","R0618300","R0810200","R3127500","R3127800","R3401000","R3523200","R3523500","R3559000","R3656400","R3728200","R3728500","R3897100","R4006900","R4182300","R4295100","R4416800","R4418000","R4982800","R5079800","R5081000"
10670,3,60,16,2,1,3,60,51,1,7,15,11,30,9,35,43,39,16,15,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10671,3,57,15,3,1,3,57,51,1,8,28,11,23,6,36,38,52,25,28,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10672,2,61,16,2,1,2,61,51,0,15,22,7,26,10,46,44,42,23,25,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10673,6,57,15,3,1,6,57,51,1,16,30,11,33,12,47,48,54,46,49,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10674,6,59,18,3,2,6,59,51,1,27,30,13,32,14,62,51,55,71,69,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10675,7,59,16,2,1,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10676,8,60,19,2,2,8,60,51,1,13,17,7,33,6,43,38,37,20,15,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10677,1,59,18,3,2,1,59,51,1,4,28,12,32,15,31,52,53,27,36,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10678,7,60,15,3,1,7,60,51,1,23,35,13,36,22,57,63,60,76,85,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10679,8,58,15,3,1,8,58,51,1,22,29,13,50,15,55,52,54,73,61,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10680,11,57,19,2,2,11,57,51,1,8,13,4,27,4,36,35,31,8,5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10681,8,59,18,3,2,8,59,51,0,22,33,12,50,12,55,48,57,79,63,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10682,4,59,18,3,2,4,59,51,1,18,31,10,38,14,50,51,54,53,54,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10683,8,59,18,3,2,8,59,51,1,17,31,12,40,11,49,46,55,57,51,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10684,5,58,18,3,2,5,58,51,1,29,33,14,31,19,65,58,59,82,86,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
